rank ,name ,ELO ,title,federation ,games,birth_year
147,Ivan Popov ,2627,GM,Russian Federation ,1209,1990
148,Awonder Liang ,2625,GM,United States ,429,2003
149,Samvel Ter Sahakyan ,2625,GM,Armenia ,889,1993
150,Loek Van Wely ,2624,GM,Netherlands ,3749,1972
151,Lazaro Bruzon Batista ,2623,GM,United States ,1577,1982
152,Vladislav Kovalev ,2623,GM,FIDE ,1114,1994
153,S.P. Sethuraman ,2623,GM,India ,1209,1993
154,Yaroslav Zherebukh ,2623,GM,United States ,658,1993
155,Vladimir Akopian ,2620,GM,United States ,1830,1971
156,Farrukh Amonatov ,2620,GM,Tajikistan ,961,1978
157,Cristobal Henriquez Villagra ,2620,GM,Chile ,320,1996
158,Aleksandar Indjic ,2620,GM,Serbia ,903,1995
159,Viktor Laznicka ,2620,GM,Czech Republic ,1701,1988
160,David Paravyan ,2620,GM,Russian Federation ,952,1998
161,Nodirbek Yakubboev ,2620,GM,Uzbekistan ,364,2002
162,Boris Grachev ,2619,GM,Russian Federation ,1869,1986
163,Eduardo Iturrizaga Bonelli ,2619,GM,Spain ,1094,1989
164,Jun Zhao ,2619,GM,China ,720,1986
165,Sergei Movsesian ,2618,GM,Armenia ,2695,1978
166,Rinat Jumabayev ,2617,GM,Kazakhstan ,1145,1989
167,Daniel Naroditsky ,2617,GM,United States ,478,1995
168,Zhong Zhang ,2617,GM,China ,919,1978
169,Benjamin Bok ,2616,GM,Netherlands ,993,1995
170,Denis Khismatullin ,2616,GM,Russian Federation ,1528,1984
171,Shanglei Lu ,2616,GM,China ,888,1995
172,Robert Markus ,2616,GM,Serbia ,1297,1983
173,Daniele Vocaturo ,2616,GM,Italy ,1074,1989
174,Ildar Khairullin ,2615,GM,Russian Federation ,1083,1990
175,Emil Sutovsky ,2615,GM,Israel ,1775,1977
176,Neuris Delgado Ramirez ,2614,GM,Paraguay ,415,1981
177,Miguel Illescas Cordoba ,2614,GM,Spain ,1402,1965
178,Murali Karthikeyan ,2613,GM,India ,677,1999
179,Georg Meier ,2613,GM,Uruguay ,1322,1987
180,Sergey A Fedorchuk ,2612,GM,Ukraine ,1816,1981
181,Aram Hakobyan ,2612,GM,Armenia ,485,2001
182,Volodymyr Onyshchuk ,2612,GM,Ukraine ,1085,1991
183,Abhimanyu Puranik ,2612,GM,India ,539,2000
184,Nigel D Short ,2612,GM,United Kingdom ,2875,1965
185,Tamas Banusz ,2611,GM,Hungary ,1303,1989
186,Ante Brkic,2611,GM,Croatia ,1623,1988
187,Raunak Sadhwani ,2611,GM,India ,511,2005
188,Aryan Chopra ,2610,GM,India ,277,2001
189,Vitaliy Bernadskiy ,2610,GM,Ukraine ,925,1994
190,Aleksey Dreev ,2610,GM,Russian Federation ,3360,1969
191,Niclas Huschenbeth ,2610,GM,Germany ,761,1992
192,Manuel Petrosyan ,2610,GM,Armenia ,732,1998
193,Max Warmerdam ,2610,GM,Netherlands ,421,2000
194,David Baramidze ,2609,GM,Germany ,1123,1988
195,Christian Bauer ,2609,GM,France ,2092,1977
196,Boris Alterman ,2608,GM,Israel ,697,1970
197,Chithambaram VR Aravindh ,2608,GM,India ,535,1999
198,Jonas Buhl Bjerre ,2608,GM,Denmark ,411,2004
199,Surya Shekhar Ganguly ,2608,GM,India ,1811,1983
200,Vadim Milov ,2608,GM,Switzerland ,1583,1972
