index,id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
370,273,http://static-media.fxx.com/img/FX_Networks_-_FXX/665/351/hunk_a_hunk.jpg,7.2,651.0,4,273,2001-12-02,2001,CABF18,13,A Hunka Hunka Burns in Love,13.4,http://www.simpsonsworld.com/video/301344323882,37376.0
371,293,http://static-media.fxx.com/img/FX_Networks_-_FXX/98/583/Simpsons_14_05.jpg,7.3,713.0,2,293,2002-11-10,2002,DABF22,14,How I Spent My Strummer Vacation,12.5,http://www.simpsonsworld.com/video/221293123693,35578.0
372,275,http://static-media.fxx.com/img/FX_Networks_-_FXX/342/515/she_of_little_faith.jpg,7.1,692.0,6,275,2001-12-16,2001,DABF02,13,She of Little Faith,13.2,http://www.simpsonsworld.com/video/288120899968,45824.0
373,296,http://static-media.fxx.com/img/FX_Networks_-_FXX/189/399/Simpsons_1405_HD_Clean_AUTH_movie_1280x720_223620163549.jpg,6.8,633.0,5,296,2002-12-01,2002,DABF21,14,Helter Shelter,15.1,http://www.simpsonsworld.com/video/221388355650,42907.0
374,283,http://static-media.fxx.com/img/FX_Networks_-_FXX/96/823/tales_from_public_domain.jpg,7.3,630.0,14,283,2002-03-17,2002,DABF08,13,Tales from the Public Domain,11.7,http://www.simpsonsworld.com/video/310411843752,50301.0
375,300,http://static-media.fxx.com/img/FX_Networks_-_FXX/327/87/Simpsons_The_Strong_Arms_of_The_Ma.jpg,6.9,644.0,9,300,2003-02-02,2003,EABF04,14,The Strong Arms of the Ma,15.4,http://www.simpsonsworld.com/video/221532739689,51877.0
376,276,http://static-media.fxx.com/img/FX_Networks_-_FXX/658/811/brawl_in_the_family.jpg,6.9,649.0,7,276,2002-01-06,2002,DABF01,13,Brawl in the Family,11.8,http://www.simpsonsworld.com/video/283083843778,45684.0
377,278,http://static-media.fxx.com/img/FX_Networks_-_FXX/123/674/jaws_wired_shut.jpg,7.3,642.0,9,278,2002-01-27,2002,DABF05,13,Jaws Wired Shut,14.2,http://www.simpsonsworld.com/video/310440003514,49429.0
378,289,http://static-media.fxx.com/img/FX_Networks_-_FXX/101/702/little_girl_in_the_big_ten.jpg,7.2,613.0,20,289,2002-05-12,2002,DABF15,13,Little Girl in the Big Ten,11.2,http://www.simpsonsworld.com/video/310416963509,46466.0
379,310,http://static-media.fxx.com/img/FX_Networks_-_FXX/487/746/Simpsons_Old_YellerBelly.jpg,6.8,574.0,19,310,2003-05-04,2003,EABF14,14,Old Yeller-Belly,11.59,http://www.simpsonsworld.com/video/221701187546,43223.0
380,298,http://static-media.fxx.com/img/FX_Networks_-_FXX/265/74/Simpsons_14_07.jpg,7.1,593.0,7,298,2003-01-05,2003,EABF02,14,Special Edna,15.0,http://www.simpsonsworld.com/video/221467715532,40867.0
381,302,http://static-media.fxx.com/img/FX_Networks_-_FXX/482/867/Simpsons_Barting_Over.jpg,6.6,650.0,11,302,2003-02-16,2003,EABF05,14,Barting Over,21.3,http://www.simpsonsworld.com/video/221696067841,47276.0
382,309,http://static-media.fxx.com/img/FX_Networks_-_FXX/486/770/Simpsons_14_18.jpg,7.0,651.0,18,309,2003-04-27,2003,EABF13,14,"Dude, Where's My Ranch?",11.71,http://www.simpsonsworld.com/video/221700163549,49000.0
383,312,http://static-media.fxx.com/img/FX_Networks_-_FXX/977/955/Simpsons_The_Bart_of_War.jpg,6.6,575.0,21,312,2003-05-18,2003,EABF16,14,The Bart of War,12.1,http://www.simpsonsworld.com/video/229731395601,50464.0
384,314,http://static-media.fxx.com/img/FX_Networks_-_FXX/741/271/Treehouse_of_Horror_XIV.jpg,7.4,738.0,1,314,2003-11-02,2003,EABF21,15,Treehouse of Horror XIV,16.22,http://www.simpsonsworld.com/video/227335747784,68381.0
385,165,http://static-media.fxx.com/img/FX_Networks_-_FXX/313/723/Simpsons_08_14.jpg,8.6,1137.0,12,165,1997-02-02,1997,4F10,8,Mountain of Madness,9.1,http://www.simpsonsworld.com/video/436267075791,60763.0
386,319,http://static-media.fxx.com/img/FX_Networks_-_FXX/764/718/Today_I_am_a_Clown.jpg,6.6,576.0,6,319,2003-12-07,2003,FABF01,15,Today I Am a Clown,10.5,http://www.simpsonsworld.com/video/227360323557,37890.0
387,321,http://static-media.fxx.com/img/FX_Networks_-_FXX/773/3/Marge_vs.jpg,6.7,589.0,8,321,2004-01-04,2004,FABF03,15,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",12.0,http://www.simpsonsworld.com/video/227369027832,50276.0
388,323,http://static-media.fxx.com/img/FX_Networks_-_FXX/782/287/Diatribe_of_a_Mad_Housewife.jpg,7.3,596.0,10,323,2004-01-25,2004,FABF05,15,Diatribe of a Mad Housewife,10.6,http://www.simpsonsworld.com/video/227378755925,45062.0
389,337,http://static-media.fxx.com/img/FX_Networks_-_FXX/136/587/Alls_Fair_in_Oven_War.jpg,7.0,566.0,2,337,2004-11-14,2004,FABF20,16,All's Fair in Oven War,11.64,http://www.simpsonsworld.com/video/257840195722,41064.0
390,334,http://static-media.fxx.com/img/FX_Networks_-_FXX/812/567/Bart_Mangled_Banner.jpg,6.2,593.0,21,334,2004-05-16,2004,FABF17,15,Bart-Mangled Banner,8.7,http://www.simpsonsworld.com/video/227410499679,56275.0
391,353,http://static-media.fxx.com/img/FX_Networks_-_FXX/69/239/A_Star_is_Torn.jpg,6.8,554.0,18,353,2005-05-08,2005,GABF13,16,A Star Is Torn,8.72,http://www.simpsonsworld.com/video/264212035982,44500.0
392,362,http://static-media.fxx.com/img/FX_Networks_-_FXX/746/382/See_homer_run.jpg,6.9,543.0,6,362,2005-11-20,2005,GABF21,17,See Homer Run,10.3,http://www.simpsonsworld.com/video/273512003506,40306.0
393,325,http://static-media.fxx.com/img/FX_Networks_-_FXX/794/999/Milhouse_Doesn't_Live_Here_Anymore.jpg,7.3,583.0,12,325,2004-02-15,2004,FABF07,15,Milhouse Doesn't Live Here Anymore,9.4,http://www.simpsonsworld.com/video/227392067706,46792.0
394,327,http://static-media.fxx.com/img/FX_Networks_-_FXX/827/707/The_Ziff_Who_Came_to_Dinner.jpg,6.9,568.0,14,327,2004-03-14,2004,FABF08,15,The Ziff Who Came to Dinner,10.7,http://www.simpsonsworld.com/video/227426371786,43747.0
395,343,http://static-media.fxx.com/img/FX_Networks_-_FXX/181/583/Homer_and_Neds_Hail_Mary_Pass.jpg,6.4,582.0,8,343,2005-02-06,2005,GABF02,16,Homer and Ned's Hail Mary Pass,23.07,http://www.simpsonsworld.com/video/256813635887,43356.0
396,358,http://static-media.fxx.com/img/FX_Networks_-_FXX/73/231/the_girl_slept.jpg,6.9,585.0,2,358,2005-09-18,2005,GABF16,17,The Girl Who Slept Too Little,9.79,http://www.simpsonsworld.com/video/277101123962,35717.0
397,329,http://static-media.fxx.com/img/FX_Networks_-_FXX/804/759/The_Wandering_Juvie.jpg,6.9,599.0,16,329,2004-03-28,2004,FABF11,15,The Wandering Juvie,10.5,http://www.simpsonsworld.com/video/227402307606,44539.0
398,359,http://static-media.fxx.com/img/FX_Networks_-_FXX/741/3/milhouse_sand_fog.jpg,7.0,558.0,3,359,2005-09-25,2005,GABF19,17,Milhouse of Sand and Fog,10.19,http://www.simpsonsworld.com/video/273506371834,35779.0
399,360,http://static-media.fxx.com/img/FX_Networks_-_FXX/149/51/treehouse_horror.jpg,7.3,646.0,4,360,2005-11-06,2005,GABF17,17,Treehouse of Horror XVI,11.63,http://www.simpsonsworld.com/video/310466627927,74401.0
400,366,http://static-media.fxx.com/img/FX_Networks_-_FXX/576/7/homers_paternity_coot.jpg,6.7,554.0,10,366,2006-01-08,2006,HABF03,17,Homer's Paternity Coot,10.1,http://www.simpsonsworld.com/video/279775811924,39552.0
