album;song;lyrics;year;views
Rated R;Fire Bomb ;"[Intro]
Yeah, whoa

[Verse 1]
Gunfire left a hole in the tank, losing gasoline
Fire is on my trail and he's after me
Hope it don't get here before I get where I'm goin'
I gotta get where I'm goin'
Take off my mask to breathe
You could've been a part of a masterpiece
Fluid in the brakes was the last to leak
That's the thing

[Pre-Chorus]
Where I'm goin', I don't need my brakes (Brakes)
Can't wait to see your face
When your front windows break
And I come crashing through

[Chorus]
The lovers needa clear the road
Oh, oh
'Cause this thing is ready to blow
Oh, oh
I just wanna set you on fire
So I won't have to burn alone
Then you
Then you'll know where I'm comin' from
Fire bomb
Fire bomb


[Verse 2]
Seems cold, but baby, no, it doesn't have to be
Microwaving our metal tragedy
Watching it burn and it's beautiful and it's blue
And it's pitiful and it's through, it's the other half of me
I didn't do it, you lit the match for me
Now we're flying from the blast, baby
That's the thing

[Pre-Chorus]
Where we're going, we don't need no brakes (Brakes)
Can't wait to see your face
When your front windows break
And I come crashing through

[Chorus]
The lovers needa clear the road
Oh, oh
'Cause this thing is ready to blow
Oh, oh
I just wanna set you on fire
So I won't have to burn alone
Then you
Then you'll know where I'm coming from
Fire bomb
Fire bomb


[Bridge]
Baby, we were killin' 'em
They couldn't handle the millionth degree
We were criminals
As we were burning, the world called the police
Fire department, ambulance
You can call me crazy
'Cause I believe the only move for me and you is to go out blazing

[Chorus]
The lovers needa clear the road
Oh, oh
'Cause this thing is ready to blow
Oh, oh

[Outro]
I just wanna set you on fire
So I won't have to burn alone
Then you
Then you'll know where I'm coming from
Fire bomb
Oh, oh, oh
Fire bomb";2009;25700
Rated R;Rude Boy ;"[Chorus]
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me

[Verse 1]
Tonight, I'ma let you be the captain
Tonight, I'ma let you do your thing, yeah
Tonight, I'ma let you be a rider
Giddy-up, giddy-up, giddy-up, babe
Tonight, I'ma let it be fire
Tonight, I'ma let you take me higher
Tonight, baby, we could get it on, yeah, we could get it on, yeah

[Pre-Chorus]
Do you like it?
Boy, I want, want, want whatchu want, want, want
Give it to me, baby, like boom, boom, boom
What I want, want, want is what you want, want, want
Nah, nah-ah


[Chorus]
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me

[Verse 2]
Tonight, I'ma give it to ya harder
Tonight, I'ma turn ya body out
Relax, let me do it how I wanna
If you got it, I need it, and I'ma put it down
Buckle up, I'ma give it to ya stronger
Hands up, we could go a little longer
Tonight, I'ma get a little crazy, get a little crazy, baby

[Pre-Chorus]
Like it?
Boy, I want, want, want whatchu want, want, want
Give it to me, baby, like boom, boom, boom
What I want, want, want is what you want, want, want
Nah, nah-ah


[Chorus]
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me

[Bridge]
I like the way you touch me there
I like the way you pull my hair
Babe, if I don't feel it I ain't faking, no, no (Oh no)
I like when you tell me 'kiss you there'
I like when you tell me 'move it there'
So giddy-up, time to get it up
You say you a rude boy, show me what you got now
Come here right now
Take it, take it, baby, baby
Take it, take it, love me, love me

[Chorus]
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me
Come here, rude boy, boy, can you get it up?
Come here rude boy, boy, is you big enough?
Take it, take it (Yeah), baby, baby (Yeah)
Take it, take it (Yeah), love me, love me
Love me, love me (Love me, love me, love me, love me)
Take it, take it, baby, baby
Take it, take it, love me, love me
Love me, love me (Love me, love me)
Yeah, yeah, yeah
Take it, take it, baby, baby
Take it, take it, love me, love me";2009;230000
Rated R;Photographs (Ft. ?will.i.am) ;"[Intro: Rihanna]
Here's a little story I've gotta tell
'Bout this boy I know so well
Back in the day was cool and all
Fell in love, I fell in love
Thought he was the one for me
Other boys I could not see
And look what happened to our love
I'm like how could it be?

[Verse 1: Rihanna & will.i.am]
It shoulda been me and you
It coulda been you and me
But boy, you broke my heart and now I'm standing there
It shoulda been me and you
It coulda been you and me
Now all I got are these photographs

[Chorus: Rihanna & will.i.am]
All I've got, all I've got
All I've got are these photographs
All I've got, all I've got
Is nothing without you, you, you
Got nothing without you, you, you
Got nothing without you


[Verse 2: Rihanna]
Now baby, it's killing me
I'm saying it's killing me
The fact that you ain't around
Baby, I'm falling down
I need me a remedy
Been looking for remedies
I need you to be around
Baby, I'm hurting now
I know you're a better man
When I was your girl
This land is a better land
When you're in my world
Today will be better, babe
If it were like yesterday
So happy and lovely
Hey, hey, hey

[Chorus: Rihanna & will.i.am]
All I've got, all I've got
All I've got are these photographs
All I've got, all I've got
Is nothing without you, you, you
Got nothing without you, you, you
Got nothing without you


[Refrain: Rihanna]
All I've got are these photographs
I remember when I used to make you laugh
I don't wanna be stuck in the past
But you're all that I have, that I had
And I don't wanna lose what we built this far
This is me and you, you're my superstar
I'd give anything, baby, here's my heart
My heart, my heart

[Verse 3: will.i.am]
My heart don't stop, my heart be beating over
My loving never stop, even though that it's over
Girl, I've been reminiscing when I play that Casanova
Way back when we was kissing on your grandmama's sofa
Girl, I got us lovey-dovey on my photo album
I got them pictures back when I was rocking Calvin Klein
You had your Guess jeans on, looking sexy, oh no
Girl, why could it not be the one?

[Bridge: Rihanna & will.i.am]
Why? Why? Why?
Why couldn't I be the one?
(Why? Why? Why?)
Why couldn't you be the one?
(Why? Why? Why?)
Why couldn't you be the one?
(Why? Why? Why?)


[Chorus: Rihanna & will.i.am]
All I've got, all I've got
Is nothing without you
All I've got, all I've got
Is nothing without you, you, you
Is nothing without you, you, you
Is nothing without you

[Outro: Rihanna with will.i.am]
All I've got, is nothing without
All I've got, is nothing without
All I've got, all I've got are these photographs";2009;20400
Rated R;G4L ;"[Verse 1]
I lick the gun when I'm done
'Cause I know that revenge is sweet
So sweet
This is a gang, ladies thang
Baby bang, tell me what you need, oh
Any motherfucker wanna disrespect
Playing with fire finna get you wet
How it feel down there on your knees

[Pre-Chorus]
I got this
Girls like a soldier
Trip and it's goin' down, down, down

[Chorus]
I'm ready to roll
Girl, I'm with you
If they get you, they get me
So come on, let's go
Bitch, I'm with you
If you with it, you with me
You know I'm down
Down for life
Load it, reload it and let's go
Gangsta for life
'Til the day that I die
Yeah, I promise I'm standing high
'Cause you know that I'm down
You know I'm down
Gangsta for life


[Verse 2]
We drivin' by with them headlights off
We know where you stay
Know what you did, we don't play that shit
Nigga we don't play, no
Everybody cried when you did your dirt
Acting like a bitch finna get you hurt
Breaking lives down to their knees, oh

[Pre-Chorus]
I got this
Girls like a soldier
Trip and it's goin' down, down, down

[Chorus]
I'm ready to roll
Girl, I'm with you
If they get you, they get me
So come on, let's go
Bitch, I'm with you
If you with it, you with me
You know I'm down
Down for life
Load it, reload it and let's go
Gangsta for life
'Til the day that I die
Yeah, I promise I'm standing high
'Cause you know that I'm down
You know I'm down
Gangsta for life


[Bridge]
Guns (Check), Girls (Check)
Come on, we ain't done yet
Got a lot to handle
We ain't takin' over the world yet
We're an army
Better yet, a navy
Better yet, crazy
Guns in the air
Guns in the air
Guns in the air
Can't hurt us again when you come around here
We got our guns, got our guns
We got our guns, got our guns
We got our guns in the motherfuckin' air, oh

[Chorus]
I'm down for life
Gangsta for life
I'm down for life
Gangsta for life
You know I'm down
Down for life
Load it, reload it and let's go
Gangsta for life
'Til the day that I die
Yeah, I promise I'll stand and fight
'Cause you know that I'm down
You know I'm down
Gangsta for life


[Outro]
I lick the gun when I'm done
'Cause I know that revenge is sweet";2009;25800
Rated R;Te Amo ;"[Verse 1]
Te amo, te amo
She says to me
I hear the pain in her voice
Then we danced underneath the candelabra
She takes the lead
That's when I saw it in her eyes, it's over

[Chorus]
Then she said te amo
Then she put her hand around me waist
I told her no
She cried te amo
I told her I'm not gonna run away
But let me go
My soul is awry
Without asking why
I said te amo
Wish somebody'd tell me what she said?
Don't it mean I love you?
Think it means I love you
Don't it mean I love you?

[Verse 2]
Te amo, te amo
She's scared to breathe
I hold her hand, I got no choice, uh
Pulled me out on the beach, danced in the water
I start to leave
She's begging me and asking why it's over


[Chorus]
Then she said te amo
Then she put her hand around me waist
I told her no
She cried te amo
I told her I'm not gonna run away
But let me go
My soul is awry
Without asking why
I said te amo
Wish somebody'd tell me what she said?
Don't it mean I love you?
Think it means I love you
Don't it mean I love you?

[Bridge]
Listen, we can dance
But you gotta watch your hands
Watch me all night
I’m moving through the light
Because I understand
That we all need love
And I'm not afraid
To feel the love, but I don't feel that way

[Chorus]
Then she said te amo
Then she put her hand around me waist
I told her no
She cried te amo
I told her I'm not gonna run away
But let me go
My soul is awry
Without asking why
I said te amo
Wish somebody'd tell me what she said?
Don't it mean I love you?
Think it means I love you
Don't it mean I love you?
Think it means I love you


[Outro]
Te amo, te amo
Don't it mean I love you?";2009;165300
Rated R;Cold Case Love ;"[Verse 1]
On my roof
Dark and I'm burning a rose
I don't need proof
I'm torn apart and you know
What you did to me was a crime
Cold case love
And I let you reach me one more time
But that's enough

[Bridge]
Your love was breaking the law
But I needed a witness
So wake me up when it's over
It don't make any difference
Will it ever be solved
Or am I taking the fall?
Truth was there all along
Tell me, how did we miss it?

[Chorus]
We opened up a cold case love
And it got the best of us
And now prints, pictures and white outlines
Are all that's left at the scene of a crime
Of a cold case love


[Verse 2]
Should've investigated
But love blinded eyes
Couldn't see (No)
And then I tried to cage it
But your love ain't the kind you can keep
Release me now 'cause I did my time
Of this cold case love
My heart's no longer cold and confined
I've had enough

[Bridge]
Your love was breaking the law
But I needed a witness
So wake me up when it's over
It don't make any difference
Will it ever be solved
Or am I taking the fall?
Truth was there all along
Tell me, how did we miss it?

[Chorus]
We opened up a cold case love
And it got the best of us
And now prints, pictures and white outlines
Are all that's left at the scene of a crime
Of a cold case love


[Bridge]
We lost our way
Took this too far
Now I'll never find the pieces of my heart
We've lost enough
Looking for a truth
That was here all along

[Chorus]
We opened up a cold case love
And it got the best of us
And now prints, pictures and white outlines
Are all that's left at the scene of a crime
Of a cold case love
We opened up a cold case love
And it got the best of us
And now prints, pictures and white outlines
Are all that's left at the scene of a crime
Of a cold case love
Love";2009;32600
Rated R;The Last Song ;"[Verse 1]
Here we are
Midair off of the cliff
Staring down at the end again
But then again, maybe we're finally
On the road that's headed away from all your complaining
Of hearing the same song
But baby, we'll hear it when I'm gone

[Chorus]
It's time to turn on the last song
Oooh
The last song
Oooh

[Verse 2]
What if you wasted love and our love in time disappeared?
And the sad song ends up being the last song you'll ever hear
It was ours
But I'd do it again, holding hands with my friend again
But then again, maybe we gave our all
A song we'll never forget
Baby let 'em play it, maybe it'll save the world
They gon' miss hearing it when it's gone

[Chorus]
But it's time to turn on the last song
Oooh
The last song
Oooh


[Verse 3]
What if we left every moment that we could spare?
And the perfect song ends up being the last song you'll ever hear
You'll never know when the songs gonna play
The last song you'll hear is the one you made
Your song was beautiful
That's why I started singing it
But this song is our song, so it's playing until the end
Even if it's the last song

[Extended Chorus]
The last song
Oooh
The last song
Oooh
What if you wasted love and our love in time disappeared?
And the perfect song ends up being the last song you'll ever hear
Oooh";2009;12200
Rated R;Russian Roulette (Donni Hotwheel Remix) ;"[Verse 1]
Take a breath, take it deep
""Calm yourself,"" he says to me
If you play, you play for keeps
Take the gun and count to three
I’m sweating now, moving slow
No time to think, my turn to go

[Chorus]
And you can see my heart beating
You can see it through my chest
Said I’m terrified, but I’m not leaving
I know that I must pass this test
And you can see my heart beating
Oh, you can see it through my chest
Said I’m terrified, but I’m not leaving
I know that I must pass this test
So just pull the trigger (Trigger, trigger, trigger)

[Verse 2]
Say a prayer to yourself
He says, ""Close your eyes""
Sometimes it helps
And then I get a scary thought
That he’s here, means he’s never lost


[Chorus]
And you can see my heart beating
Oh, you can see it through my chest
Said I’m terrified, but I’m not leaving
I know that I must pass this test
So just pull the trigger
So just pull the trigger

[Bridge]
As my life flashes before my eyes
I’m wondering, will I ever see another sunrise?
So many won’t get the chance to say goodbye
But it’s too late to think of the value of my life

[Chorus]
And you can see my heart beating
Oh, you can see it through my chest
Said I’m terrified but I’m not leaving, no
Know that I must pass this test
You can see my heart beating
Oh, you can see it through my chest
I’m terrified but I’m not leaving, no, no
Know that I must pass this test
So just pull the trigger (Trigger, trigger, trigger)";2009;0
Rated R;Hole in My Head (Ft. Justin Timberlake) ;"[Intro: Justin Timberlake]
Let go!
You got a hole in my head
You got a hole in my head girl
You got a hole in my head
You got a hole in my head girl
You got a hole in my head
You got a hole in my head girl

[Verse 1: Rihanna]
No use, your lips keep moving
But I got a couple of screws loose
Them other boys talkin' about me
They say I'm bad news
And probably best for you to keep this short
It's my time to interrupt
Gonna take a lot to start me up
I don't think you wanna deal right now
And not with me (With me)
Don't start with me (With me)
I got a, got a, got a gun on me
I don't think you really wanna run your mouth
'Cause I was feelin' watered down
You're gonna drown

[Pre-Chorus 1: Rihanna]
All over your radio, see me in the stadium
I'll spin your body
Imma run to let these ladies know
Watch your tone around me
Don't push my buttons
You don't really wanna see me get wild
G-G-get wild


[Chorus: Rihanna]
I got a hole in my head
A hole in my head
Sometimes I get crazy and I ain't scared of nobody
Don't look at me funny like you ain't hear what I said
I got a hole in my head (My head, my head)
I got a hole in my head (My head, my head)
I got a hole in my head (My head, my head)
Don't look at me funny like you ain't hear what I said
I got a hole in my head (My head, my head)

[Verse 2: Rihanna]
Buckle up, I ride this like a fast car
Suck it up, don't even try to act hard
And you can try to run but you won't get very far
And you can try to hide but I know where you are
Let loose, I see right through you
You got a hole in your head too
And I knew it the very moment I met you
So I hope you got your swagger up
You know just what I love
Gonna take a lot to work me up
I don't think you wanna do it right now
And not with me (With me)
Don't start with me (With me)
I got a, got a, got a attitude on me
And I don't think you really wanna run your mouth
'Cause I was feelin' watered down
Baby might drown


[Pre-Chorus 2: Rihanna]
Catch me on your mind baby
Don't waste my time baby
Now watch me wine
You can take that as a sign baby
So left and right with me
Now push my buttons
You see me go wild
Go, go wild

[Chorus: Rihanna]
I got a hole in my head
A hole in my head
Sometimes I get crazy and I ain't scared of nobody
Don't look at me funny like you ain't hear what I said
I got a hole in my head (My head, my head)
I got a hole in my head (M-my head, my head)
I got a hole in my head (M-my head, my head)
Don't look at me funny like you ain't hear what I said
I got a hole in my head (My head, my head)

[Post-Chorus: Rihanna]
(Oh, oh)
Sometimes I go crazy
(Oh, oh)
Watch me, watch me
(Oh, oh)
Sometimes I go crazy
(Oh, oh)


[Bridge: Justin Timberlake & Rihanna]
(Uh, uh, break it down) Oooh
I hear voices in my head, they go ""Oooh""
I hear voices in my head, they go ""Oooh""
I hear voices in my head, they go ""Oooh"" (Oh)
Uh, now go ""Oooh""
I hear voices in my head, they go ""Oooh""
I hear voices in my head, they go ""Oooh""
I hear voices in my head, they go ""Oooh"" (Oh)
Now go...

[Chorus: Rihanna]
I got a hole in my head
A hole in my head
Sometimes I get crazy and I ain't scared of nobody
Don't look at me funny like you ain't hear what I said
I got a hole in my head (My head, my head)
I got a hole in my head (M-my head, my head)
I got a hole in my head (M-my head, my head)
Don't look at me funny like you ain't hear what I said
I got a hole in my head (My head, my head)

[Outro: Justine Timberlake & Rihanna]
You got a hole in your head
You got a hole in your head girl
You got a hole in your head
You got a hole in your head girl (Oh)";2009;0
Loud;S&M;"[Intro: Ester Dean]
Na-na-na, come on
Na-na-na, come on
Na-na-na-na-na, come on
Na-na-na, come on, come on, come on
Na-na-na-na, come on
Na-na-na, come on
Na-na-na-na-na, come on
Na-na-na, come on, come on, come on
Na-na-na-na

[Verse 1: Rihanna]
Feels so good being bad (Oh-oh-oh-oh-oh)
There's no way I'm turning back (Oh-oh-oh-oh-oh)
Now the pain is my pleasure 'cause nothing could measure
(Oh, oh, oh-oh-oh-oh-oh)
Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, outta line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more
(Oh, oh, oh-oh-oh-oh-oh)

[Chorus: Rihanna]
'Cause I may be bad, but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me
'Cause I may be bad, but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me


[Post-Chorus: Rihanna & Ester Dean]
Na-na-na, come on, come on, come on
I like it, like it
Come on, come on, come on
I like it, like it (Na-na-na)
Come on, come on, come on
I like it, like it
Come on, come on, come on
I like it, like it

[Verse 2: Rihanna]
Love is great, love is fine (Oh-oh-oh-oh-oh)
Out the box, outta line (Oh-oh-oh-oh-oh)
The affliction of the feeling leaves me wanting more
(Oh, oh, oh-oh-oh-oh-oh)

[Chorus: Rihanna]
'Cause I may be bad, but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me

[Post-Chorus: Rihanna & Ester Dean]
Na-na-na, come on, come on, come on
I like it, like it
Come on, come on, come on
I like it, like it (Na-na-na)
Come on, come on, come on
I like it, like it
Come on, come on, come on
I like it, like it
[Refrain: Rihanna]
S-S-S and M-M-M
S-S-S and M-M-M

[Bridge: Rihanna]
Oh, I love the feeling you bring to me
Oh, you turn me on
It's exactly what I've been yearning for
Give it to me strong
And meet me in my boudoir
Make my body say, ""Ah-ah-ah""
I like it, like it

[Chorus: Rihanna]
'Cause I may be bad, but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me
'Cause I may be bad, but I'm perfectly good at it
Sex in the air, I don't care, I love the smell of it
Sticks and stones may break my bones
But chains and whips excite me

[Post-Chorus: Rihanna & Ester Dean]
Na-na-na, come on, come on, come on
I like it, like it
Come on, come on, come on
I like it, like it (Na-na-na)
Come on, come on, come on
I like it, like it
Come on, come on, come on
I like it, like it
[Refrain: Rihanna]
S-S-S and M-M-M
S-S-S and M-M-M
S-S-S and M-M-M
S-S-S and M-M-M";2010;409100
Loud;What's My Name? (Ft. Drake);"[Refrain: Rihanna & Drake]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name? (Uh)
What's my name? What's my name? (Yeah)

[Verse 1: Drake]
I heard you good with them soft lips
Yeah, you know, word of mouth
The square root of sixty-nine is eight somethin', right?
'Cause I've been tryna work it out, oh
Good weed, white wine, uh
I come alive in the night time, yeah
Okay, away we go
Only thing we have on is the radio
Let it play
Say you gotta leave, but I know you wanna stay
You just waitin' on the traffic jam to finish, girl
The things that we could do in twenty minutes, girl
Say my name, say my name, wear it out
It's gettin' hot, crack a window, air it out
I can get you through a mighty long day
Soon as you go, the text that I write is gon' say


[Refrain: Rihanna]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

[Verse 2: Rihanna]
Not everybody
Knows how to work my body
Knows how to make me want it
But, boy, you stay up on it
You got that somethin'
That keeps me so off balance
Baby, you're a challenge
Let's explore your talent

[Chorus: Rihanna]
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
[Refrain: Rihanna]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

[Verse 3: Rihanna]
Baby, you got me
And ain't nowhere that I'd be
Than with your arms around me
Back and forth, you rock me, yeah
So I surrender
To every word you whisper
Every door you enter
I will let you in

[Chorus: Rihanna]
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
[Bridge: Rihanna]
You're so amazing
You took the time to figure me out
That's why you take me
Way past the point of turnin' me on
You 'bout to break me
I swear you got me losin' my mind

[Refrain: Rihanna]
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
Oh na-na, what's my name?
What's my name? What's my name?

[Chorus: Rihanna]
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah
Hey, boy, I really wanna see if you
Can go downtown with a girl like me
Hey, boy, I really wanna be with you
'Cause you just my type
Ooh, na, na, na, na
I need a boy to take it over
Lookin' for a guy to put in work
Oh woah, oh woah";2010;737100
Loud;Cheers (Drink to That);"[Intro: Robert Campbell]
(One, two) We takin' shots in here, you want one?
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)

[Chorus]
Cheers to the freakin' weekend
I drink to that, yeah, yeah
Oh, let the Jameson sink in
I drink to that, yeah, yeah
Don't let the bastards get you down
Turn it around with another round
There's a party at the bar
Everybody, put your glasses up and I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)

[Verse 1]
Life's too short to be sitting 'round miserable
And people gon' talk whether you doing bad or good, yeah
Got a drink on my mind and my mind on my money, yeah
Looking so bomb, gonna find me a honey


[Pre-Chorus]
Got my Ray-Bans on and I'm feeling hella cool tonight, yeah
Everybody's vibing, so don't nobody start a fight, yeah

[Chorus]
Cheers to the freakin' weekend
I drink to that, yeah, yeah
Oh, let the Jameson sink in
I drink to that, yeah, yeah
Don't let the bastards get you down
Turn it around with another round
There's a party at the bar
Everybody, put your glasses up and I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)

[Verse 2]
'Bout to hop on the bar, put it all on my card tonight, yeah
Might be mad in the morning, but you know we goin' hard tonight
It's getting Coyote Ugly up in here, no Tyra
It's only up from here, no downward spiral

[Pre-Chorus]
Got my Ray-Bans on and I'm feeling hella cool tonight, yeah
Everybody's vibing, so don't nobody start a fight, yeah
[Chorus]
Cheers to the freakin' weekend
I drink to that, yeah, yeah
Oh, let the Jameson sink in
I drink to that, yeah, yeah
Don't let the bastards get you down
Turn it around with another round
There's a party at the bar
Everybody, put your glasses up and I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
And I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)

[Chorus]
Cheers to the freaking weekend
I drink to that, yeah, yeah
Oh, let the Jameson sink in
I drink to that, yeah, yeah
Don't let the bastards get you down
Turn it around with another round
There's a party at the bar
Everybody, put your glasses up and I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
And I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
I drink to that
(Yeah, yeah, yeah, yeah, yeah, yeah)
(Yeah, yeah, yeah, yeah, yeah, yeah)
And I drink to that";2010;101700
Loud;Fading;"[Verse 1]
You say you love me
But they feel like words to me
Well, this just ain't working
Stop thinking you can run over me
Drifting, settling
Off to a foreign place
If I can't see what's in front of me
It's a mystery, well, then apparently

[Pre-Chorus]
Things just ain't the same
And I'm ready for change
Go on, be gone
Bye bye, so long

[Chorus]
Can't you see that you're fading, fading, fading?
Fa-a-ading away, away, away, away
I opened up my eyes and I finally realized
Today, today, it's too late
You're fading away

[Verse 2]
Put a sock in it, just stop running your mouth
Got my mind made up, I ain't coming back again
No way, no way, no way, no way
'Cause I'm so fed up, boy, you got me messed up
If we hooking back up, don't press your luck today, today
I'm blowing you away, yeah, yeah


[Pre-Chorus]
Things just ain't the same
And I'm ready for change
Go on, be gone
Ta-ta, so long

[Chorus]
Can't you see that you're fading, fading, fading?
Fa-a-ading away, away, away, away
I opened up my eyes and I finally realized
Today, today, it's too late
You're fading away

[Bridge]
Saw you turn into a ghost right in front of my eyes
Tell me, what's a girl to do when she's crying inside?
I'm about to go insane, I'm jumping off this train
Whether wrong or right, I'll be gone by night

[Chorus]
Can't you see that you're fading, fading, fading?
Fa-a-ading away, away, away, away
I opened up my eyes and I finally realized
Today, today, it's too late
You're fading away";2010;25600
Loud;Only Girl (In the World);"[Intro]
La-la-la-la
La-la-la-la
La-la-la-la (Uh, yeah)
La-la-la-la

[Verse 1]
I want you to love me
Like I'm a hot ride (Uh, yeah)
Be thinking of me (Uh)
Doing what you like (Haha)
So, boy, forget about the world
'Cause it's gon' be me and you tonight (Yeah)
I wanna make you beg for it
Then I'ma make you swallow your pride, oh (Uh, uh)

[Chorus]
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one
[Verse 2]
Want you to take it (Uh)
Like a thief in the night (Uh)
Hold me like a pillow
Make me feel right (Uh)
Baby, I'll tell you all my secrets that I'm keeping
You can come inside (Yeah)
And when you enter, you ain't leaving
Be my prisoner for the night, oh

[Chorus]
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one

[Bridge]
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh, baby, take me high, high
Let me make you rise, rise
Make it last all night
[Chorus]
Want you to make me feel
Like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man
Only girl in the world
Girl in the world
Only girl in the world
Girl in the world";2010;294900
