index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att_y,Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
7,Genki Haraguchi,24.0,jp JPN,CM,30-097,80,0,0,0,0,2,0,0,0,33.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,44.0,1.0,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
8,Kevin Behrens,17.0,de GER,CM,30-192,10,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,3.0,5.0,60.0,1.0,4.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
9,Niko Gießelmann,23.0,de GER,LB,29-322,90,0,0,0,0,0,0,0,0,55.0,2.0,1,2.0,0.0,0.0,0.1,3.0,0.0,32.0,43.0,74.4,3.0,21.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
10,Timo Baumgartl,25.0,de GER,CB,25-163,90,0,0,0,0,0,0,0,0,54.0,3.0,0,1.0,0.0,0.0,0.0,1.0,0.0,34.0,45.0,75.6,6.0,23.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
11,Robin Knoche,31.0,de GER,CB,29-084,90,0,0,0,0,0,0,0,0,52.0,2.0,1,6.0,0.0,0.0,0.0,0.0,0.0,29.0,37.0,78.4,2.0,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
12,Marvin Friedrich,5.0,de GER,CB,25-244,90,0,0,0,0,1,1,0,0,50.0,1.0,3,1.0,0.1,0.1,0.0,0.0,0.0,34.0,40.0,85.0,1.0,18.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
13,Christopher Trimmel,28.0,at AUT,RB,34-171,81,0,0,0,0,0,0,0,0,35.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,75.0,3.0,6.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
14,Julian Ryerson,6.0,no NOR,RB,23-270,9,0,0,0,0,0,0,0,0,8.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
15,Andreas Luthe,1.0,de GER,GK,34-157,90,0,0,0,0,0,0,0,0,30.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,67.9,0.0,14.0,0.0,0.0,0.0,3.0,1.0,2.0,66.7,0.3,2.0,11.0,18.2,22.0,4.0,36.4,34.6,6.0,50.0,39.3,14.0,1.0,7.1,0.0,9.0,1,2
0,Patrik Schick,14.0,cz CZE,FW,25-202,88,0,0,0,0,5,1,0,0,27.0,0.0,0,1.0,0.3,0.3,0.0,0.0,0.0,11.0,13.0,84.6,1.0,14.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2
1,Joel Pohjanpalo,17.0,fi FIN,FW,26-335,2,0,0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2
2,Nadiem Amiri,11.0,de GER,LW,24-291,75,0,0,0,0,2,0,0,0,62.0,1.0,2,0.0,0.1,0.1,0.1,2.0,0.0,42.0,53.0,79.2,2.0,43.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0,2
3,Paulinho,7.0,br BRA,LW,21-030,15,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,2
4,Moussa Diaby,19.0,fr FRA,RW,22-038,90,1,0,0,0,3,2,1,0,45.0,1.0,0,0.0,0.2,0.2,0.1,6.0,1.0,26.0,35.0,74.3,5.0,31.0,2.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,0,2
