Wk,Day,Date,Time,Home,xG_x,xG_y,Away,Attendance,Venue,Referee,game_id,Score_x,Score_y,Fouls_x,Corners_x,Crosses_x,Touches_x,Tackles_x,Interceptions_x,Aerials Won_x,Clearances_x,Offsides_x,Goal Kicks_x,Throw Ins_x,Long Balls_x,Fouls_y,Corners_y,Crosses_y,Touches_y,Tackles_y,Interceptions_y,Aerials Won_y,Clearances_y,Offsides_y,Goal Kicks_y,Throw Ins_y,Long Balls_y
4.0,Fri,2022-08-26,20:30,Freiburg,3.9,1.2,Bochum,32800.0,Europa-Park Stadion,Marco Fritz,27,1,0,15.0,2.0,17.0,532.0,11.0,14.0,31.0,19.0,0.0,6.0,29.0,77.0,13.0,5.0,23.0,545.0,7.0,15.0,29.0,21.0,0.0,14.0,18.0,105.0
4.0,Sat,2022-08-27,15:30,Hoffenheim,1.9,0.6,Augsburg,17206.0,PreZero Arena,Tobias Welz,28,1,0,14.0,4.0,18.0,564.0,17.0,14.0,15.0,16.0,3.0,10.0,18.0,78.0,9.0,6.0,20.0,555.0,14.0,14.0,14.0,13.0,2.0,19.0,29.0,73.0
4.0,Sat,2022-08-27,15:30,Mainz 05,1.4,1.9,Leverkusen,28500.0,Mewa Arena,Christian Dingert,29,0,3,10.0,3.0,20.0,732.0,15.0,9.0,10.0,7.0,1.0,2.0,29.0,67.0,12.0,4.0,8.0,537.0,21.0,11.0,16.0,31.0,3.0,7.0,22.0,66.0
4.0,Sat,2022-08-27,15:30,RB Leipzig,3.5,0.5,Wolfsburg,41243.0,Red Bull Arena,Bastian Dankert,30,2,0,20.0,8.0,17.0,498.0,10.0,4.0,12.0,17.0,1.0,9.0,22.0,62.0,15.0,4.0,16.0,626.0,12.0,18.0,10.0,15.0,1.0,11.0,17.0,91.0
4.0,Sat,2022-08-27,15:30,Schalke 04,1.9,1.1,Union Berlin,62271.0,Veltins-Arena,Robert Hartmann,31,1,6,9.0,8.0,34.0,629.0,5.0,13.0,30.0,17.0,0.0,6.0,21.0,90.0,10.0,2.0,13.0,466.0,11.0,7.0,21.0,29.0,3.0,8.0,16.0,82.0
4.0,Sat,2022-08-27,15:30,Hertha BSC,0.5,2.7,Dortmund,62142.0,Olympiastadion Berlin,Tobias Stieler,32,0,1,8.0,6.0,11.0,514.0,21.0,9.0,15.0,19.0,1.0,10.0,13.0,61.0,9.0,10.0,24.0,744.0,16.0,11.0,12.0,11.0,0.0,6.0,20.0,67.0
4.0,Sat,2022-08-27,18:30,Bayern Munich,2.8,0.5,M'Gladbach,75000.0,Allianz Arena,Daniel Schlager,33,1,1,13.0,14.0,33.0,793.0,16.0,9.0,12.0,7.0,7.0,5.0,20.0,71.0,7.0,1.0,4.0,433.0,21.0,4.0,7.0,42.0,0.0,11.0,12.0,66.0
4.0,Sun,2022-08-28,15:30,Köln,0.6,2.1,Stuttgart,50000.0,RheinEnergieSTADION,Harm Osmers,34,0,0,14.0,6.0,23.0,632.0,20.0,7.0,15.0,23.0,1.0,10.0,33.0,69.0,11.0,8.0,19.0,423.0,17.0,11.0,14.0,22.0,0.0,6.0,26.0,77.0
4.0,Sun,2022-08-28,17:30,Werder Bremen,1.8,1.8,Eint Frankfurt,41000.0,Wohninvest Weserstadion,Patrick Ittrich,35,3,4,17.0,5.0,12.0,628.0,13.0,6.0,13.0,19.0,3.0,8.0,18.0,80.0,18.0,7.0,17.0,531.0,11.0,11.0,11.0,11.0,5.0,7.0,30.0,64.0
5.0,Fri,2022-09-02,20:30,Dortmund,2.0,0.5,Hoffenheim,79300.0,Signal Iduna Park,Daniel Siebert,36,1,0,14.0,5.0,17.0,610.0,22.0,9.0,11.0,16.0,2.0,5.0,17.0,60.0,15.0,8.0,26.0,605.0,16.0,10.0,11.0,13.0,2.0,9.0,29.0,70.0
5.0,Sat,2022-09-03,15:30,Stuttgart,0.6,2.3,Schalke 04,47500.0,Mercedes-Benz Arena,Florian Badstübner,37,1,1,11.0,5.0,14.0,526.0,17.0,12.0,19.0,37.0,2.0,10.0,15.0,72.0,10.0,7.0,25.0,617.0,15.0,10.0,10.0,16.0,1.0,9.0,20.0,68.0
5.0,Sat,2022-09-03,15:30,Bochum,0.8,2.0,Werder Bremen,25800.0,Vonovia Ruhrstadion,Robert Schröder,38,0,2,15.0,7.0,27.0,542.0,13.0,10.0,21.0,24.0,3.0,2.0,23.0,109.0,10.0,3.0,14.0,548.0,19.0,12.0,26.0,34.0,6.0,14.0,22.0,111.0
5.0,Sat,2022-09-03,15:30,Union Berlin,0.3,1.5,Bayern Munich,22012.0,Stadion An der Alten Försterei,Frank Willenborg,39,1,1,19.0,5.0,17.0,396.0,28.0,13.0,15.0,21.0,0.0,10.0,18.0,76.0,7.0,7.0,17.0,896.0,14.0,11.0,22.0,24.0,2.0,5.0,17.0,41.0
5.0,Sat,2022-09-03,15:30,Leverkusen,1.8,1.9,Freiburg,26853.0,BayArena,Sascha Stegemann,40,2,3,15.0,8.0,19.0,535.0,6.0,5.0,10.0,14.0,2.0,3.0,19.0,56.0,10.0,4.0,12.0,553.0,12.0,9.0,12.0,18.0,1.0,3.0,15.0,72.0
5.0,Sat,2022-09-03,15:30,Wolfsburg,1.0,2.7,Köln,25654.0,Volkswagen Arena,Matthias Jöllenbeck,41,2,4,13.0,5.0,24.0,526.0,17.0,11.0,16.0,13.0,2.0,15.0,30.0,95.0,14.0,4.0,15.0,562.0,19.0,10.0,15.0,20.0,4.0,2.0,22.0,82.0
5.0,Sat,2022-09-03,18:30,Eint Frankfurt,3.1,0.2,RB Leipzig,49700.0,Deutsche Bank Park,Felix Brych,42,4,0,14.0,4.0,10.0,583.0,20.0,18.0,6.0,17.0,4.0,8.0,18.0,59.0,11.0,3.0,20.0,688.0,26.0,11.0,8.0,27.0,0.0,5.0,16.0,60.0
5.0,Sun,2022-09-04,15:30,Augsburg,0.4,2.1,Hertha BSC,25789.0,WWK Arena,Harm Osmers,43,0,2,12.0,5.0,17.0,510.0,21.0,7.0,19.0,11.0,3.0,13.0,29.0,77.0,15.0,1.0,17.0,575.0,20.0,12.0,21.0,22.0,3.0,5.0,25.0,74.0
