color,start time,start date,end time,end date,duration
Amber,2:00,9-Jun-06,3:00,9-Jun-06,01 00
Amber,10:25,9-Jun-06,10:55,9-Jun-06,00 30
Red,10:55,9-Jun-06,11:15,9-Jun-06,00 20
Black,11:15,9-Jun-06,13:30,9-Jun-06,02 15
Red,13:30,9-Jun-06,14:20,9-Jun-06,00 50
Amber,14:20,9-Jun-06,15:20,9-Jun-06,01 00
Amber,20:40,9-Jun-06,22:30,9-Jun-06,01 50
Amber,3:35,13-Jun-06,4:15,13-Jun-06,00 40
Red,4:15,13-Jun-06,5:35,13-Jun-06,01 20
Amber,9:00,8-Jul-06,11:10,8-Jul-06,02 10
Amber,2:10,16-Jul-06,2:35,16-Jul-06,00 25
Red,2:35,16-Jul-06,2:50,16-Jul-06,00 15
Black,2:50,16-Jul-06,5:00,16-Jul-06,02 10
Red,5:00,16-Jul-06,5:45,16-Jul-06,00 45
Amber,5:45,16-Jul-06,7:45,16-Jul-06,02 00
Amber,5:25,27-Jul-06,9:20,27-Jul-06,03 55
Amber,3:25,28-Jul-06,10:00,28-Jul-06,06 35
Amber,0:10,10-Aug-06,1:40,10-Aug-06,01 30
Amber,0:20,19-Aug-06,1:40,19-Aug-06,01 20
Amber,13:05,9-Sep-06,13:45,9-Sep-06,00 40
Red,13:45,9-Sep-06,15:30,9-Sep-06,01 45
Amber,15:30,9-Sep-06,16:15,9-Sep-06,00 45
Amber,7:50,13-Sep-06,9:30,13-Sep-06,01 40
Red,9:30,13-Sep-06,12:15,13-Sep-06,02 45
Amber,12:15,13-Sep-06,13:45,13-Sep-06,01 30
Amber,17:40,13-Sep-06,23:15,13-Sep-06,05 35
Amber,15:30,21-Nov-06,20:25,21-Nov-06,04 55
Amber,10:15,24-Apr-07,10:40,24-Apr-07,00 25
Red,10:40,24-Apr-07,12:30,24-Apr-07,01 50
Amber,12:30,24-Apr-07,13:20,24-Apr-07,00 50
Amber,16:30,19-May-07,18:30,19-May-07,02 00
Amber,7:10,20-May-07,11:55,20-May-07,04 45
Amber,4:35,27-May-07,5:35,27-May-07,01 00
Amber,14:45,27-May-07,16:00,27-May-07,01 15
Amber,2:45,10-Jun-07,3:25,10-Jun-07,00 40
Red,3:25,10-Jun-07,4:55,10-Jun-07,01 30
Amber,4:55,10-Jun-07,8:30,10-Jun-07,03 35
Amber,9:00,28-Jun-07,10:30,28-Jun-07,01 30
Amber,5:40,29-Jun-07,6:25,29-Jun-07,00 45
Amber,3:55,6-Aug-07,5:30,6-Aug-07,01 35
Amber,10:00,22-Aug-07,11:00,22-Aug-07,01 00
Amber,16:40,19-Apr-08,17:10,19-Apr-08,00 30
Red,17:10,19-Apr-08,19:15,19-Apr-08,02 05
Black,19:15,19-Apr-08,21:30,19-Apr-08,02 15
Amber,9:05,29-May-08,11:40,29-May-08,02 35
Amber,18:35,3-Jun-08,20:10,3-Jun-08,01 35
Amber,13:20,6-Jun-08,16:10,6-Jun-08,02 50
Amber,5:15,7-Jun-08,5:55,7-Jun-08,00 40
Red,5:55,7-Jun-08,6:40,7-Jun-08,00 45
Black,6:40,7-Jun-08,11:00,7-Jun-08,04 20
Red,11:00,7-Jun-08,11:30,7-Jun-08,00 30
Amber,11:30,7-Jun-08,13:30,7-Jun-08,02 00
Amber,21:40,13-Jun-08,22:15,13-Jun-08,00 35
Red,22:15,13-Jun-08,2:50,14-Jun-08,04 35
Amber,2:50,14-Jun-08,4:10,14-Jun-08,01 20
Amber,5:15,25-Jun-08,6:00,25-Jun-08,00 45
Red,6:00,25-Jun-08,10:10,25-Jun-08,04 10
Amber,10:10,25-Jun-08,12:20,25-Jun-08,02 10
Amber,8:30,26-Jun-08,8:50,26-Jun-08,00 20
Red,8:50,26-Jun-08,10:00,26-Jun-08,01 10
Amber,17:35,6-Jul-08,19:20,6-Jul-08,01 45
Amber,9:15,8-Jul-08,10:45,8-Jul-08,01 30
Amber,6:35,10-Jul-08,11:15,10-Jul-08,04 40
Amber,2:15,12-Jul-08,3:00,12-Jul-08,00 45
Red,3:00,12-Jul-08,7:10,12-Jul-08,04 10
Amber,7:10,12-Jul-08,7:45,12-Jul-08,00 35
Amber,23:25,14-Jul-08,1:30,15-Jul-08,02 05
Amber,7:15,8-Aug-08,9:05,8-Aug-08,01 50
Amber,11:05,24-Sep-08,16:20,24-Sep-08,05 15
Amber,8:50,5-Oct-08,11:30,5-Oct-08,02 40
Amber,18:15,5-Oct-08,20:40,5-Oct-08,02 25
Amber,14:00,5-Mar-09,15:00,5-Mar-09,01 00
Amber,16:10,5-Mar-09,17:10,5-Mar-09,01 00
Amber,8:20,24-Mar-09,9:30,24-Mar-09,01 10
Amber,2:05,16-Apr-09,3:25,16-Apr-09,01 20
Amber,10:20,25-Apr-09,12:40,25-Apr-09,02 20
Amber,5:50,21-May-09,8:30,21-May-09,02 40
Amber,16:45,23-May-09,19:00,23-May-09,02 15
Amber,13:05,24-May-09,15:00,24-May-09,01 55
Amber,0:20,4-Jun-09,1:10,4-Jun-09,00 50
Red,1:10,4-Jun-09,2:10,4-Jun-09,01 00
Amber,2:10,4-Jun-09,3:35,4-Jun-09,01 25
Amber,6:15,11-Jun-09,8:40,11-Jun-09,02 25
Amber,10:25,12-Jun-09,11:45,12-Jun-09,01 20
Amber,1:05,6-Jul-09,4:20,6-Jul-09,03 15
Amber,1:45,19-Jul-09,2:25,19-Jul-09,00 40
Red,2:25,19-Jul-09,5:30,19-Jul-09,03 05
Amber,20:40,5-Aug-09,23:00,5-Aug-09,02 20
Amber,7:10,11-Aug-09,8:15,11-Aug-09,01 05
Amber,19:15,13-Sep-09,20:30,13-Sep-09,01 15
Amber,3:55,15-Sep-09,10:20,15-Sep-09,06 25
Amber,17:55,15-Sep-09,19:45,15-Sep-09,01 50
Amber,17:20,30-Sep-09,20:00,30-Sep-09,02 40
Amber,6:35,7-May-10,8:25,7-May-10,01 50
Amber,15:35,19-May-10,18:10,19-May-10,02 35
Amber,5:10,10-Jun-10,6:25,10-Jun-10,01 15
Amber,3:58,26-Jun-10,5:30,26-Jun-10,01 32
Amber,12:50,27-Jun-10,13:55,27-Jun-10,01 05
Amber,12:45,28-Jun-10,14:50,28-Jun-10,02 05
Amber,16:35,22-Jul-10,17:20,22-Jul-10,00 45
Red,17:20,22-Jul-10,17:30,22-Jul-10,00 10
Black,17:30,22-Jul-10,19:50,22-Jul-10,02 20
Amber,19:50,22-Jul-10,21:00,22-Jul-10,01 10
Amber,14:30,28-Jul-10,15:15,28-Jul-10,00 45
Red,15:15,28-Jul-10,15:35,28-Jul-10,00 20
Black,15:35,28-Jul-10,17:00,28-Jul-10,01 25
Red,17:00,28-Jul-10,18:10,28-Jul-10,01 10
Amber,18:45,5-Aug-10,19:05,5-Aug-10,00 20
Red,19:05,5-Aug-10,20:05,5-Aug-10,01 00
Amber,14:15,28-Aug-10,15:50,28-Aug-10,01 35
Amber,7:25,5-Sep-10,8:25,5-Sep-10,01 00
Amber,0:10,9-Sep-10,0:40,9-Sep-10,00 30
Red,0:40,9-Sep-10,1:45,9-Sep-10,01 05
Amber,22:10,10-Sep-10,23:25,10-Sep-10,01 15
Red,23:25,10-Sep-10,0:40,11-Sep-10,01 15
Amber,20:05,20-Sep-10,21:50,20-Sep-10,01 45
Amber,1:55,21-Sep-10,2:40,21-Sep-10,00 45
Red,2:40,21-Sep-10,4:55,21-Sep-10,02 15
Amber,4:55,21-Sep-10,5:25,21-Sep-10,00 30
Amber,15:55,17-Apr-11,17:00,17-Apr-11,01 05
Amber,5:30,13-May-11,8:00,13-May-11,02 30
Amber,10:45,22-May-11,11:10,22-May-11,00 25
Red,11:10,22-May-11,14:45,22-May-11,03 35
Amber,20:45,22-May-11,21:55,22-May-11,01 10
Red,21:55,22-May-11,23:25,22-May-11,01 30
Amber,23:25,22-May-11,0:25,23-May-11,01 00
Amber,17:50,11-Jun-11,20:05,11-Jun-11,02 15
Amber,6:15,12-Jun-11,9:20,12-Jun-11,03 05
Amber,8:45,16-Jun-11,11:45,16-Jun-11,03 00
Amber,2:50,17-Jun-11,4:00,17-Jun-11,01 10
Amber,14:25,28-Jun-11,16:05,28-Jun-11,01 40
Amber,13:35,29-Jun-11,15:20,29-Jun-11,01 45
Amber,0:30,16-Jul-11,2:50,16-Jul-11,02 20
Amber,13:40,10-Aug-11,15:30,10-Aug-11,01 50
Amber,18:15,19-Sep-11,19:30,19-Sep-11,01 15
Amber,16:40,16-Apr-12,19:10,16-Apr-12,02 30
Amber,10:55,20-Apr-12,12:20,20-Apr-12,01 25
Amber,15:20,27-Apr-12,17:30,27-Apr-12,02 10
Amber,6:10,29-Apr-12,8:30,29-Apr-12,02 20
Red,8:30,29-Apr-12,10:10,29-Apr-12,01 40
Amber,21:20,4-May-12,23:55,4-May-12,02 35
Amber,8:55,18-May-12,10:45,18-May-12,01 50
Amber,11:05,26-May-12,12:50,26-May-12,01 45
Amber,2:40,28-May-12,4:35,28-May-12,01 55
Amber,15:15,13-Jun-12,16:40,13-Jun-12,01 25
Amber,9:20,5-Jul-12,10:20,5-Jul-12,01 00
Amber,6:10,18-Jul-12,8:20,18-Jul-12,02 10
Amber,17:35,21-Jul-12,18:40,21-Jul-12,01 05
Amber,1:55,24-Jul-12,10:40,24-Jul-12,08 45
Amber,11:30,25-Jul-12,14:20,25-Jul-12,02 50
Amber,11:00,27-Jul-12,12:30,27-Jul-12,01 30
Amber,17:10,31-Jul-12,18:35,31-Jul-12,01 25
Amber,6:40,11-Aug-12,8:25,11-Aug-12,01 45
Amber,13:20,24-Sep-12,14:20,24-Sep-12,01 00
