Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2011-10-28,9772.85,10007.25,9772.85,9997.8,99379619,18167800000,14.01,2.35,1.39
2011-10-31,9996.7,10078.6,9937.55,10047.15,79332088,14773600000,14.08,2.36,1.39
2011-11-01,10044.7,10075.35,9945.2,9993.7,59454658,11614100000,16,2.35,1.4
2011-11-02,9991.5,10046.35,9925.45,10003.8,60995059,11516700000,16.02,2.35,1.39
2011-11-03,10003.95,10096.4,9977.05,10077,67702426,13278200000,16.14,2.37,1.38
2011-11-04,10078.7,10216.45,10078.7,10178.65,72081310,14688500000,16.3,2.39,1.37
2011-11-08,10179.7,10215.35,10095.7,10138.15,52701865,11733300000,16.24,2.38,1.38
2011-11-09,10139.15,10175.45,9982.55,9995.8,69210014,13919800000,16,2.35,1.4
2011-11-11,9993.65,10020.35,9847.55,9875.9,75026592,15113200000,15.8,2.32,1.41
2011-11-14,9873.1,9965.2,9786.15,9802,70376167,13140100000,15.72,2.31,1.42
2011-11-15,9801.85,9802.1,9489.55,9504.65,74735195,13298600000,15.33,2.24,1.47
2011-11-16,9504.55,9504.55,9352.45,9457.35,113373320,18980000000,15.26,2.22,1.47
2011-11-17,9458.3,9474,9286.4,9313.4,74701160,12796400000,15.02,2.19,1.5
2011-11-18,9311.95,9311.95,9146.8,9268.2,93487820,13779700000,14.95,2.18,1.5
2011-11-21,9267.05,9267.05,9058.05,9087.45,80603678,10479700000,14.65,2.14,1.54
2011-11-22,9087.5,9167.75,9054.9,9106.85,81341936,13031700000,14.68,2.14,1.53
2011-11-23,9105.65,9105.65,8896.75,8924,104735103,14841700000,14.38,2.1,1.57
2011-11-24,8924.2,9086.25,8802.9,9057.45,135745573,17279300000,14.62,2.13,1.54
2011-11-25,9056.45,9166.85,9001.7,9083,82048495,12280200000,14.66,2.13,1.54
2011-11-28,9085.3,9275.3,9085.3,9263.5,76985293,12142200000,14.95,2.18,1.51
2011-11-29,9264.65,9305.85,9117.55,9140.9,86259240,13226200000,14.75,2.13,1.53
2011-11-30,9140.55,9152.15,9038.95,9089.95,165296464,22087200000,14.67,2.12,1.54
2011-12-01,9094.5,9352.15,9094.5,9173.7,89352574,12636900000,14.84,2.13,1.52
2011-12-02,9174.6,9427.05,9156.75,9411.95,80986021,13196000000,15.23,2.19,1.49
2011-12-05,9412.3,9450.85,9379.15,9429.55,83970376,11428100000,15.26,2.19,1.48
2011-12-07,9429.55,9525.1,9393.8,9414.25,94076648,14695600000,15.23,2.19,1.49
2011-12-08,9413.65,9413.85,9214.25,9253.3,87292682,13256200000,14.97,2.15,1.51
2011-12-09,9250.75,9250.75,9113.1,9148.35,83390577,12322200000,14.8,2.13,1.53
2011-12-12,9149.3,9224.15,8930.05,8955.1,80780808,11225200000,14.49,2.08,1.56
2011-12-13,8954,8975.25,8857.2,8938.1,79728059,12488300000,14.46,2.08,1.56
2011-12-14,8938.2,8988.95,8837.1,8864.55,80165335,12521100000,14.34,2.06,1.58
2011-12-15,8861.65,8869.95,8745.05,8851.3,85695726,13442300000,14.32,2.06,1.58
2011-12-16,8851.75,8955.95,8652.15,8682.5,91408677,13844400000,14.05,2.02,1.61
2011-12-19,8681.6,8681.6,8426.35,8499.85,75380409,12769200000,13.75,1.98,1.64
2011-12-20,8501.2,8532.6,8274.5,8295.85,81700373,11701400000,13.42,1.93,1.69
2011-12-21,8299,8491.55,8299,8446.45,79021553,11133000000,13.67,1.96,1.66
2011-12-22,8445.8,8554.15,8356.6,8542.5,95299560,13686100000,13.82,1.99,1.64
2011-12-23,8543.75,8614.65,8432.55,8467.45,79250208,11201900000,13.7,1.97,1.65
2011-12-26,8468.1,8555.1,8468.1,8522.05,49399447,6040900000,13.79,1.98,1.64
2011-12-27,8523.55,8569.6,8414.2,8448.75,58340270,7630500000,13.67,1.96,1.65
