Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2001-01-09,,,,1027.94,,,6.87,1.09,2.86
2001-01-10,,,,1031.27,,,6.89,1.09,2.85
2001-01-11,,,,1031.78,,,6.89,1.09,2.85
2001-01-12,,,,1049.51,,,7.01,1.11,2.81
2001-01-15,,,,1057.52,,,7.06,1.12,2.78
2001-01-16,,,,1068,,,7.13,1.13,2.76
2001-01-17,,,,1057.49,,,7.06,1.12,2.78
2001-01-18,,,,1054.72,,,7.04,1.12,2.79
2001-01-19,,,,1068.69,,,7.14,1.13,2.75
2001-01-22,,,,1073.29,,,7.17,1.14,2.74
2001-01-23,,,,1092.05,,,7.29,1.16,2.7
2001-01-24,,,,1093.67,,,7.3,1.16,2.69
2001-01-25,,,,1121.02,,,7.49,1.19,2.63
2001-01-29,,,,1085.88,,,7.25,1.15,2.71
2001-01-30,,,,1093.3,,,7.3,1.16,2.69
2001-01-31,,,,1094.09,,,7.31,1.16,2.69
2001-02-01,,,,1080.88,,,7.22,1.14,2.72
2001-02-02,,,,1102.81,,,7.37,1.17,2.67
2001-02-05,,,,1128.24,,,7.54,1.19,2.61
2001-02-06,,,,1133.67,,,7.57,1.2,2.6
2001-02-07,,,,1134.01,,,7.57,1.2,2.6
2001-02-08,,,,1177.74,,,7.87,1.25,2.5
2001-02-09,,,,1244.64,,,8.31,1.32,2.37
2001-02-12,,,,1233.37,,,8.24,1.3,2.39
2001-02-13,,,,1199.81,,,8.01,1.27,2.45
2001-02-14,,,,1202.86,,,8.03,1.27,2.45
2001-02-15,,,,1197.64,,,8,1.27,2.46
2001-02-16,,,,1139.75,,,7.61,1.21,2.58
2001-02-19,,,,1149.56,,,7.68,1.22,2.56
2001-02-20,,,,1143.82,,,7.64,1.21,2.57
2001-02-21,,,,1153.56,,,7.71,1.22,2.55
2001-02-22,,,,1127.75,,,7.53,1.19,2.61
2001-02-23,,,,1089.81,,,7.28,1.15,2.7
2001-02-26,,,,1090.46,,,7.28,1.15,2.7
2001-02-27,,,,1086.55,,,7.26,1.15,2.71
2001-02-28,,,,1171.65,,,7.83,1.24,2.51
2001-03-01,,,,1246.48,,,8.33,1.32,2.36
2001-03-02,,,,1238.15,,,8.27,1.31,2.38
2001-03-05,,,,1226.43,,,8.19,1.3,2.4
2001-03-07,,,,1214.78,,,8.11,1.28,2.42
2001-03-08,,,,1215.22,,,8.12,1.29,2.42
2001-03-09,,,,1184.86,,,7.91,1.25,2.48
2001-03-12,,,,1129.37,,,7.54,1.19,2.61
2001-03-13,,,,1057.12,,,7.06,1.12,2.79
2001-03-14,,,,1098.69,,,7.34,1.16,2.68
2001-03-15,,,,1117.11,,,7.46,1.18,2.64
2001-03-16,,,,1080.19,,,7.21,1.14,2.73
2001-03-19,,,,1081.65,,,7.22,1.14,2.72
2001-03-20,,,,1070.35,,,7.15,1.13,2.75
2001-03-21,,,,1084.69,,,7.25,1.15,2.71
2001-03-22,,,,1055.65,,,7.05,1.12,2.79
2001-03-23,,,,1037.46,,,6.93,1.1,2.84
2001-03-26,,,,1031.9,,,6.89,1.09,2.85
2001-03-27,,,,1027.01,,,6.86,1.09,2.87
2001-03-28,,,,1039.05,,,6.94,1.1,2.83
2001-03-29,,,,1040.9,,,6.95,1.1,2.83
2001-03-30,,,,991.51,,,6.62,1.05,2.97
2001-04-02,,,,960.27,,,7.24,0.95,3.26
2001-04-03,,,,970.45,,,7.31,0.96,3.23
2001-04-04,,,,970.06,,,7.31,0.96,3.23
2001-04-06,,,,968.43,,,7.3,0.96,3.23
2001-04-09,,,,974.95,,,7.35,0.97,3.21
2001-04-10,,,,964.02,,,7.26,0.96,3.25
2001-04-11,,,,977.64,,,7.37,0.97,3.2
2001-04-12,,,,963.35,,,7.26,0.95,3.25
2001-04-16,,,,985.97,,,7.43,0.98,3.18
2001-04-17,,,,1017.88,,,7.67,1.01,3.08
2001-04-18,,,,1043.69,,,7.86,1.03,3
2001-04-19,,,,1051.72,,,7.92,1.04,2.98
2001-04-20,,,,1039.52,,,7.83,1.03,3.01
2001-04-23,,,,1040.88,,,7.84,1.03,3.01
2001-04-24,,,,1037.48,,,7.82,1.03,3.02
2001-04-25,,,,1037.13,,,7.94,1.04,2.97
2001-04-26,,,,1040.23,,,7.96,1.05,2.96
2001-04-27,,,,996.95,,,7.63,1,3.09
2001-04-30,,,,992.76,,,7.6,1,3.11
2001-05-02,,,,1012.2,,,7.75,1.02,3.05
2001-05-03,,,,1003.26,,,7.68,1.01,3.07
2001-05-04,,,,1024.42,,,7.84,1.03,3.01
2001-05-07,,,,1048.21,,,8.02,1.06,2.94
2001-05-08,,,,1052.51,,,8.05,1.06,2.93
2001-05-09,,,,1041.19,,,7.97,1.05,2.96
2001-05-10,,,,1075.81,,,8.23,1.08,2.87
2001-05-11,,,,1059.35,,,8.11,1.07,2.91
2001-05-14,,,,1070.86,,,8.2,1.08,2.88
2001-05-15,,,,1063.38,,,8.14,1.07,2.9
2001-05-16,,,,1060.41,,,8.12,1.07,2.91
2001-05-17,,,,1072.46,,,8.21,1.08,2.87
2001-05-18,,,,1061.18,,,8.12,1.07,2.91
2001-05-21,,,,1049.76,,,8.04,1.06,2.94
2001-05-22,,,,1040.02,,,7.96,1.05,2.96
2001-05-23,,,,1046.15,,,8.01,1.05,2.95
2001-05-24,,,,1045.19,,,8,1.05,2.95
2001-05-25,,,,1030.83,,,7.89,1.04,2.99
2001-05-28,,,,1041.87,,,7.98,1.05,2.96
2001-05-29,,,,1058.39,,,8.1,1.07,2.91
2001-05-30,,,,1040.46,,,7.96,1.05,2.96
2001-05-31,,,,1034.54,,,7.92,1.04,2.98
2001-06-01,,,,1021.04,,,7.82,1.03,3.02
2001-06-04,,,,1012.14,,,7.75,1.02,3.05
2001-06-05,,,,998.01,,,7.64,1.01,3.09
2001-06-06,,,,1010.44,,,7.73,1.02,3.05
2001-06-07,,,,1033.63,,,7.91,1.04,2.98
2001-06-08,,,,1036.9,,,7.94,1.04,2.97
2001-06-11,,,,1041.18,,,7.97,1.05,2.96
2001-06-12,,,,1018.69,,,7.8,1.03,3.03
2001-06-13,,,,1031.1,,,7.89,1.04,2.99
2001-06-14,,,,1012.39,,,7.75,1.02,3.05
2001-06-15,,,,994.41,,,7.61,1,3.1
2001-06-18,,,,978.31,,,7.49,0.99,3.15
2001-06-19,,,,1008.67,,,7.72,1.02,3.06
2001-06-20,,,,1022.45,,,7.83,1.03,3.02
2001-06-21,,,,1028.42,,,7.87,1.04,3
2001-06-22,,,,1015.99,,,7.78,1.02,3.03
2001-06-25,,,,977.21,,,7.48,0.98,3.15
2001-06-26,,,,990.77,,,7.58,1,3.11
2001-06-27,,,,991.51,,,7.59,1,3.11
2001-06-28,,,,992.66,,,7.6,1,3.11
2001-06-29,,,,986.95,,,7.55,0.99,3.12
2001-07-02,,,,987.64,,,7.56,0.99,3.12
2001-07-03,,,,984.94,,,7.54,0.99,3.13
2001-07-04,,,,991.96,,,7.59,1,3.11
2001-07-05,,,,991.85,,,7.59,1,3.11
2001-07-06,,,,982.16,,,7.52,0.99,3.14
2001-07-09,,,,978.61,,,7.49,0.99,3.15
2001-07-10,,,,971.25,,,7.43,0.98,3.17
2001-07-11,,,,981.95,,,7.52,0.99,3.14
2001-07-12,,,,1005.36,,,7.7,1.01,3.07
2001-07-13,,,,1004.62,,,7.69,1.01,3.07
2001-07-16,,,,1006.09,,,7.7,1.01,3.06
2001-07-17,,,,999.32,,,7.65,1.01,3.09
2001-07-18,,,,1002.94,,,7.68,1.01,3.07
2001-07-19,,,,1000.27,,,7.66,1.01,3.08
2001-07-20,,,,984.92,,,7.54,0.99,3.13
2001-07-23,,,,981.89,,,7.52,0.99,3.14
2001-07-24,,,,969.27,,,7.42,0.98,3.18
2001-07-25,,,,963.75,,,7.38,0.97,3.2
2001-07-26,,,,951.55,,,7.28,0.96,3.24
2001-07-27,,,,972.85,,,7.45,0.98,3.17
2001-07-30,,,,966.32,,,7.4,0.97,3.19
2001-07-31,,,,960.83,,,7.35,0.97,3.21
2001-08-01,,,,971.52,,,7.44,0.98,3.17
2001-08-02,,,,972.09,,,7.44,0.98,3.17
2001-08-03,,,,968.11,,,7.41,0.97,3.18
2001-08-06,,,,966.43,,,7.4,0.97,3.19
2001-08-07,,,,963.64,,,7.38,0.97,3.2
2001-08-08,,,,949.76,,,7.27,0.96,3.25
2001-08-09,,,,942.72,,,7.22,0.95,3.27
2001-08-10,,,,953.84,,,7.3,0.96,3.23
2001-08-13,,,,963.51,,,7.38,0.97,3.2
2001-08-14,,,,975.12,,,7.47,0.98,3.16
2001-08-16,,,,967.26,,,7.41,0.97,3.19
2001-08-17,,,,970.08,,,7.43,0.98,3.18
2001-08-20,,,,964.36,,,7.38,0.97,3.2
2001-08-21,,,,954.93,,,7.31,0.96,3.23
2001-08-23,,,,953.06,,,7.3,0.96,3.23
2001-08-24,,,,954.17,,,7.31,0.96,3.23
2001-08-27,,,,954.08,,,7.56,0.99,3.12
2001-08-28,,,,944.57,,,7.49,0.98,3.15
2001-08-29,,,,946.29,,,7.5,0.99,3.15
2001-08-30,,,,938.3,,,7.44,0.98,3.17
2001-08-31,,,,939.57,,,7.45,0.98,3.17
