Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2018-03-12,    13859.10,    14053.35,    13822.35,    14026.60,       75102375,         1860.57
2018-03-13,    14008.10,    14195.10,    13969.00,    14058.10,       68714986,         2105.08
2018-03-14,    14007.45,    14143.30,    13918.20,    14113.85,       60180428,         1760.31
2018-03-15,    14116.40,    14152.20,    14042.90,    14070.40,       51339795,         1614.26
2018-03-16,    14062.65,    14067.50,    13859.95,    13885.75,       88466019,         3262.68
2018-03-19,    13911.75,    13942.50,    13718.50,    13754.15,       51386714,         1917.15
2018-03-20,    13686.35,    13807.35,    13652.80,    13700.05,       45404042,         1423.39
2018-03-21,    13791.85,    13856.15,    13706.00,    13738.60,-0,-0
2018-03-22,    13743.45,    13773.10,    13657.25,    13681.55,       78339377,         2552.72
2018-03-23,    13473.55,    13482.20,    13379.25,    13418.35,      132534257,         4059.34
2018-03-26,    13422.85,    13703.10,    13407.25,    13674.70,      107522318,         3735.85
2018-03-27,    13758.20,    13839.15,    13694.95,    13767.75,       96406177,         2452.09
2018-03-28,    13701.45,    13727.15,    13656.70,    13687.90,       98751474,         3515.39
2018-04-02,    13645.30,    13715.05,    13541.15,    13687.65,-0,-0
2018-04-03,    13639.30,    13840.70,    13621.60,    13824.40,-0,-0
2018-04-04,    13814.15,    13922.20,    13591.60,    13614.45,       86807603,         2311.85
2018-04-05,    13749.50,    13996.25,    13742.05,    13967.25,       72516324,         2187.64
2018-04-06,    13971.75,    14053.00,    13899.05,    14017.20,       76804034,         1979.21
2018-04-09,    13995.30,    14182.85,    13982.00,    14146.40,-0,-0
2018-04-10,    14179.75,    14300.25,    14165.45,    14262.80,      110976205,         3627.59
2018-04-11,    14255.00,    14262.30,    14115.60,    14215.90,       64058821,         1845.40
2018-04-12,    14201.55,    14324.25,    14146.30,    14297.85,       65723385,         2073.65
2018-04-13,    14332.15,    14434.10,    14241.00,    14323.55,       64237139,         2132.49
2018-04-16,    14253.15,    14421.35,    14240.80,    14405.55,       48668111,         1708.29
2018-04-17,    14435.35,    14453.45,    14360.85,    14420.65,       67516595,         1613.50
2018-04-18,    14478.60,    14478.60,    14260.60,    14288.75,-0,-0
2018-04-19,    14350.65,    14350.65,    14239.90,    14295.25,       63880757,         2233.18
2018-04-20,    14296.50,    14296.50,    14113.10,    14163.40,       71207743,         2505.68
2018-04-23,    14212.75,    14258.20,    13959.85,    14199.10,       54584512,         2259.40
2018-04-24,    14212.65,    14322.55,    14210.05,    14281.10,       69866050,         2182.22
2018-04-25,    14263.20,    14263.20,    14101.45,    14162.15,       61387610,         1643.16
2018-04-26,    14176.05,    14366.25,    14125.60,    14323.45,      137218196,         4652.65
2018-04-27,    14332.10,    14587.70,    14332.10,    14560.05,      175656013,         6452.91
2018-04-30,    14604.45,    14649.10,    14553.20,    14593.35,       83414450,         3288.96
2018-05-02,    14647.45,    14720.25,    14580.10,    14624.75,       92290766,         4154.39
2018-05-03,    14611.15,    14690.05,    14577.60,    14654.15,       76139786,         2634.79
2018-05-04,    14661.25,    14680.65,    14592.20,    14655.70,       64916467,         2027.21
2018-05-07,    14684.10,    14836.40,    14679.95,    14795.75,       64146019,         2316.31
2018-05-08,    14953.65,    14994.45,    14873.50,    14976.15,      156301115,         4988.07
2018-05-09,    14917.45,    15052.90,    14886.85,    15020.20,       77084498,         2345.04
2018-05-10,    15046.85,    15074.60,    14948.95,    14987.95,      193730686,         3638.45
2018-05-11,    15020.75,    15168.55,    14991.10,    15156.45,       85411360,         1971.55
2018-05-14,    15144.05,    15228.25,    15075.40,    15168.80,      116174261,         1800.04
2018-05-15,    15180.65,    15456.50,    15124.00,    15186.70,      108802500,         2993.81
2018-05-16,    15070.40,    15183.40,    14971.80,    15047.20,      113881464,         2764.52
2018-05-17,    15078.20,    15105.20,    14934.00,    14961.10,       68377363,         1987.14
2018-05-18,    14926.00,    14939.15,    14837.55,    14864.50,       72278941,         2289.41
2018-05-21,    14933.00,    14958.75,    14727.90,    14749.80,       71492811,         2054.47
2018-05-22,    14769.45,    14869.50,    14684.45,    14706.20,       57915592,         1581.80
2018-05-23,    14668.75,    14723.30,    14562.40,    14607.60,       54955095,         1790.79
2018-05-24,    14631.35,    14829.30,    14606.50,    14791.95,       49973261,         1584.35
2018-05-25,    14828.80,    14990.00,    14800.95,    14956.70,       51576792,         1542.57
2018-05-28,    14967.10,    15175.80,    14957.45,    15117.50,       64738756,         1973.77
2018-05-29,    15100.85,    15103.00,    14895.05,    14917.40,       55006779,         1725.04
2018-05-30,    14800.50,    14984.45,    14753.10,    14930.30,       75821876,         2212.44
2018-05-31,    15044.90,    15423.15,    14913.05,    15255.25,      278281066,         6749.88
2018-06-01,    15262.30,    15301.00,    15084.60,    15118.95,       91652035,         3266.70
2018-06-04,    15298.80,    15303.75,    14894.30,    14921.40,       94390489,         6440.43
2018-06-05,    14932.00,    14953.45,    14807.00,    14889.40,       78208067,         2450.03
2018-06-06,    14911.95,    14979.85,    14826.00,    14942.40,       93959471,         2063.17
2018-06-07,    15070.90,    15206.20,    15033.15,    15051.50,       89316893,         2557.39
2018-06-08,    15015.65,    15021.95,    14913.05,    14990.55,       51363950,         1892.94
2018-06-11,    14997.20,    15098.40,    14970.35,    14994.50,       85204829,         2241.56
2018-06-12,    15066.15,    15083.10,    14988.85,    15054.30,       65766676,         1842.42
2018-06-13,    15120.45,    15140.00,    15049.20,    15067.40,       59335968,         2088.87
2018-06-14,    15052.95,    15068.35,    14987.05,    15028.95,       53459502,         2199.09
2018-06-15,    15009.30,    15048.95,    14909.20,    14970.15,      104464695,         3482.91
2018-06-18,    14988.00,    15026.40,    14924.05,    14988.25,       71341992,         2170.86
2018-06-19,    15014.75,    15014.75,    14876.85,    14902.60,       69803558,         2491.33
2018-06-20,    14937.50,    15088.60,    14929.00,    15075.30,       57586632,         1947.60
2018-06-21,    15126.35,    15158.80,    15041.05,    15065.20,       78721560,         2503.60
2018-06-22,    15080.45,    15233.00,    14993.80,    15206.55,       70503784,         2011.84
2018-06-25,    15177.60,    15233.80,    15084.45,    15105.70,       52236582,         1721.44
2018-06-26,    15041.25,    15153.50,    15032.75,    15105.25,       46187523,         1696.67
2018-06-27,    15118.15,    15118.15,    14903.55,    14980.45,       77520253,         2939.90
2018-06-28,    14966.30,    14999.15,    14818.70,    14911.05,      182859482,         4895.51
2018-06-29,    14906.90,    15018.40,    14885.05,    14961.75,       74546262,         3066.36
