Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield
2005-06-13,2090.7,2106.65,2081.7,2102.75,38787661,1537.38,13.9,3.79,1.61
2005-06-14,2103.65,2113.85,2098.7,2112.35,38606690,1598.23,13.96,3.81,1.6
2005-06-15,2110.5,2131.95,2110.35,2128.65,44576500,1690.79,14.07,3.84,1.59
2005-06-16,2128.3,2135.1,2114.55,2123.7,65288983,2342.59,14.04,3.83,1.59
2005-06-17,2123.6,2131.75,2103.9,2123.4,43861852,2024.62,14.04,3.83,1.59
2005-06-20,2130.8,2150.25,2124.65,2144.35,92370554,4325.44,13.82,3.87,1.58
2005-06-21,2144.75,2173.25,2140.15,2170,68986654,3223.65,13.99,3.92,1.56
2005-06-22,2167.8,2196.45,2167.35,2187.35,87458824,3795.42,14.1,3.95,1.55
2005-06-23,2187.35,2192.1,2174.05,2183.85,62648424,2767.97,14.08,3.94,1.55
2005-06-24,2184,2204.45,2162.95,2194.35,57555948,2602.39,14.14,3.96,1.54
2005-06-27,2194.35,2219.65,2188.15,2199.8,93011396,3607.85,14.18,3.94,1.57
2005-06-28,2199.8,2206.8,2165.9,2169.85,73416302,2913.86,13.99,3.89,1.59
2005-06-29,2170.2,2194.25,2162,2191.65,58638570,2468.66,14.13,3.93,1.57
2005-06-30,2191.55,2226.15,2189.45,2220.6,82212701,3809.51,14.31,3.98,1.55
2005-07-01,2220.45,2220.55,2198.9,2211.9,54585383,2119.86,14.26,3.96,1.56
2005-07-04,2212.05,2232.2,2211.4,2230.65,49155821,1872.96,14.38,3.91,1.63
2005-07-05,2231.2,2238.6,2205.1,2210.75,55515957,2221.67,14.25,3.88,1.64
2005-07-06,2211.35,2232.65,2211.3,2228.2,51427929,2074.52,14.36,3.91,1.63
2005-07-07,2228.3,2235.8,2171.25,2179.4,60514945,2696.16,14.05,3.82,1.67
2005-07-08,2183.55,2210.7,2179.05,2196.2,48318799,2066.03,14.16,3.85,1.66
2005-07-11,2195.55,2224.65,2195.55,2218.85,54405573,2005.43,14.3,3.84,1.65
2005-07-12,2219.1,2233.2,2191.7,2220.8,71608159,3276.51,14.29,3.84,1.65
2005-07-13,2221.45,2234.15,2200.05,2204.05,74227393,2986.98,14.17,3.81,1.66
2005-07-14,2204.4,2212.55,2178.6,2185.1,65035973,2845.93,14.04,3.78,1.68
2005-07-15,2185.1,2216.5,2181.85,2212.55,57478017,2437.82,14.21,3.83,1.65
2005-07-18,2212.95,2248.7,2212.95,2234,55018172,2635.13,14.31,3.86,1.64
2005-07-19,2234.25,2246.7,2227.2,2237.3,51111855,2187.9,14.33,3.87,1.64
2005-07-20,2236.9,2252,2236.9,2241.9,56890570,2146.21,14.36,3.87,1.64
2005-07-21,2240.95,2251.85,2221.2,2230.5,60766699,2360.74,14.27,3.85,1.65
2005-07-22,2231,2268.55,2223.15,2265.6,57710283,2653.01,14.47,3.91,1.62
2005-07-25,2266.65,2293.95,2266.65,2291.75,81357219,3127.72,14.62,3.82,1.63
2005-07-26,2289.25,2307.1,2279.8,2303.15,98680238,3228.61,14.58,3.84,1.62
2005-07-27,2304.25,2324,2292.85,2319.1,70682407,2751.63,14.69,3.87,1.61
