Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2020-06-18,-0,-0,-0,     4726.62,      101761647,         4736.94
2020-06-19,-0,-0,-0,     4884.04,      155475798,        10148.58
2020-06-22,-0,-0,-0,     4901.75,      126649458,         6695.29
2020-06-23,-0,-0,-0,     4891.08,      113524686,         4423.04
2020-06-24,-0,-0,-0,     4852.40,      158120493,         6078.75
2020-06-25,-0,-0,-0,     4816.79,      265551438,         6221.12
2020-06-26,-0,-0,-0,     4929.01,      144029195,         4423.14
2020-06-29,-0,-0,-0,     4851.81,       85198912,         3218.91
2020-06-30,-0,-0,-0,     4787.17,      105461110,         3820.52
2020-07-01,-0,-0,-0,     4834.18,      102455962,         3610.68
2020-07-02,-0,-0,-0,     4882.42,      113766129,         3810.20
2020-07-03,-0,-0,-0,     4933.04,       80242738,         3599.62
2020-07-06,-0,-0,-0,     5010.79,       88840278,         5079.99
2020-07-07,-0,-0,-0,     4896.18,       96773229,         4540.09
2020-07-08,-0,-0,-0,     4860.27,       90708461,         3589.42
2020-07-09,-0,-0,-0,     4868.74,      107025483,         4547.81
2020-07-10,-0,-0,-0,     4894.96,       91979045,         5085.97
2020-07-13,-0,-0,-0,     4961.31,       91938604,         7217.36
2020-07-14,-0,-0,-0,     4916.16,       91760759,         7143.77
2020-07-15,-0,-0,-0,     4793.64,      128924069,        13428.96
2020-07-16,-0,-0,-0,     4826.21,      105086880,         6642.73
2020-07-17,-0,-0,-0,     5042.91,      200554212,         8233.38
2020-07-20,-0,-0,-0,     5063.54,       95671232,         4839.30
2020-07-21,-0,-0,-0,     5195.12,      235397824,         8261.08
2020-07-22,-0,-0,-0,     5177.39,      128878521,         7406.23
2020-07-23,-0,-0,-0,     5254.33,      160888201,         8633.75
2020-07-24,-0,-0,-0,     5270.30,      133314092,        13322.07
2020-07-27,-0,-0,-0,     5274.41,      143346912,        10244.03
2020-07-28,-0,-0,-0,     5290.13,      101396196,         7086.22
2020-07-29,-0,-0,-0,     5213.63,      104197830,         8505.13
2020-07-30,-0,-0,-0,     5129.89,      142125587,         9251.61
2020-07-31,-0,-0,-0,     5083.27,      123422184,         8663.83
2020-08-03,-0,-0,-0,     5003.97,      108786260,         5918.37
2020-08-04,-0,-0,-0,     5114.91,      146306404,        11045.00
2020-08-05,-0,-0,-0,     5105.43,      106217526,         8761.53
2020-08-06,-0,-0,-0,     5129.20,      124971079,         6526.29
2020-08-07,-0,-0,-0,     5161.31,      103026381,         4885.48
2020-08-10,-0,-0,-0,     5147.20,       74037681,         3830.20
2020-08-11,-0,-0,-0,     5176.51,       93375433,         6088.21
2020-08-12,-0,-0,-0,     5171.07,       87811813,         4330.33
2020-08-13,-0,-0,-0,     5180.62,       81676310,         3801.63
2020-08-14,-0,-0,-0,     5115.07,       94285464,         4721.66
2020-08-17,-0,-0,-0,     5113.74,       89875849,         4344.27
2020-08-18,-0,-0,-0,     5143.82,      106532767,         4616.16
2020-08-19,-0,-0,-0,     5165.79,      128401663,         5308.53
2020-08-20,-0,-0,-0,     5186.32,      162950305,         5120.37
2020-08-21,-0,-0,-0,     5168.22,       97222973,         4189.40
2020-08-24,-0,-0,-0,     5184.50,       69952565,         4275.72
2020-08-25,-0,-0,-0,     5173.70,      106781435,         3608.21
2020-08-26,-0,-0,-0,     5218.07,       96188728,         6999.81
2020-08-27,-0,-0,-0,     5172.90,       87480191,         4244.35
