rank;name;country_of_origin;retail_revenue;parent_company_revenue;parent_company_net_income;dominant_operational_format;countries_of_operation;retail_revenue_cagr
144;Homeplus Stores Co., Ltd.;S. Korea;7109.0;7109.0;46.0;Hypermarket/Supercenter/Superstore;1;
145;Majid Al Futtaim Holding LLC;UAE;7047.0;8785.0;597.0;Hypermarket/Supercenter/Superstore;14;0.097
146;WinCo Foods LLC;US;7000.0;7000.0;;Supermarket;1;0.057
147;Shanghai Bailian Group Co., Ltd.;China;6980.0;6980.0;125.0;Hypermarket/Supercenter/Superstore;1;-0.002
148;President Chain Store Corp.;Taiwan;6866.0;7259.0;1061.0;Convenience/Forecourt Store;4;0.022
149;GS Retail Co., Ltd.;S. Korea;6828.0;7295.0;102.0;Convenience/Forecourt Store;2;0.12
150;BİM Birleşik Mağazalar A.Ş.;Turkey;6792.0;6792.0;237.0;Discount Store;3;0.201
151;Army and Air Force Exchange Service;US;6692.0;6692.0;300.0;Convenience/Forecourt Store;34;-0.061
152;Ascena Retail Group, Inc.;US;6650.0;6650.0;1067.0;Apparel/Footwear Specialty;3;0.147
153;Jumbo Groep Holding B.V.;Netherlands;6368.0;6502.0;176.0;Supermarket;1;-0.001
154;Axel Johnson AB;Sweden;6296.0;9025.0;211.0;Supermarket;3;0.051
155;Dillard's, Inc.;US;6269.0;6423.0;221.0;Department Store;1;-0.012
156;Sonae, SGPS, SA;Portugal;6260.0;6436.0;196.0;Supermarket;24;0.045
157;Lenta Group;Russia;6258.0;6258.0;227.0;Hypermarket/Supercenter/Superstore;1;0.271
158;Izumi Co., Ltd.;Japan;6248.0;6248.0;245.0;Hypermarket/Supercenter/Superstore;1;0.064
159;Signet Jewelers Limited;US;6232.0;6253.0;519.0;Other Specialty;5;0.094
160;Pick n Pay Stores Limited;S. Africa;6225.0;6225.0;99.0;Supermarket;7;0.066
161;Edion Corporation;Japan;6191.0;6191.0;81.0;Electronics Specialty;1;0.0
162;Bauhaus GmbH & Co. KG;Germany;6145.0;6145.0;;Home Improvement;19;0.05
163;Yodobashi Camera Co., Ltd.;Japan;6139.0;6139.0;;Electronics Specialty;1;0.013
164;K's Holdings Corporation;Japan;6127.0;6127.0;205.0;Electronics Specialty;1;0.013
165;Burlington Stores, Inc.;US;6110.0;6110.0;385.0;Department Store;2;0.08
166;Tsuruha Holdings Inc.;Japan;6086.0;6086.0;239.0;Drug Store/Pharmacy;2;0.144
167;Life Corporation Co., Ltd.;Japan;6081.0;6081.0;59.0;Supermarket;1;0.054
168;Gruppo Eurospin;Italy;5935.0;5952.0;250.0;Discount Store;2;0.082
169;SM Investments Corporation;Philippines;5886.0;7850.0;1021.0;Hypermarket/Supercenter/Superstore;1;0.132
170;Staples, Inc.;US;5800.0;16000.0;;Other Specialty;4;-0.149
171;El Puerto de Liverpool, S.A.B. de C.V.;Mexico;5738.0;6456.0;522.0;Department Store;1;0.131
172;Coop Danmark A/S;Denmark;5668.0;5865.0;46.0;Supermarket;2;-0.009
173;Deichmann SE;Germany;5636.0;6537.0;;Apparel/Footwear Specialty;26;0.051
174;Ulta Beauty, Inc (formerly Ulta Salon,;US;5607.0;5885.0;555.0;Other Specialty;1;0.217
175;Berkshire Hathaway Inc. / Retailing;US;5574.0;242137.0;;Other Specialty;9;0.085
176;Coop Norge, the Group;Norway;5508.0;5792.0;46.0;Supermarket;1;0.089
177;The Michaels Companies, Inc.;US;5362.0;5362.0;390.0;Other Specialty;2;0.04
178;Lojas Americanas S.A.;Brazil;5336.0;5336.0;25.0;Discount Department Store;1;0.085
179;Woolworths Holdings Limited;S. Africa;5332.0;5332.0;276.0;Department Store;14;0.143
180;Hermès International SCA;France;5320.0;6255.0;1382.0;Apparel/Footwear Specialty;46;0.111
181;JB Hi-Fi Limited;Australia;5311.0;5311.0;181.0;Electronics Specialty;2;0.157
182;Williams-Sonoma, Inc.;US;5292.0;5292.0;260.0;Non-Store;14;0.055
183;Grupo Eroski;Spain;5280.0;5778.0;38.0;Supermarket;1;-0.052
184;Big Lots, Inc.;US;5271.0;5271.0;190.0;Discount Store;1;-0.005
185;Next plc;UK;5248.0;5269.0;769.0;Apparel/Footwear Specialty;74;0.027
186;Lawson, Inc.;Japan;5234.0;5898.0;241.0;Convenience/Forecourt Store;6;0.066
187;Wumart Holdings, Inc.;China;5223.0;6000.0;299.0;Supermarket;1;
188;Tapestry, Inc. (formerly Coach, Inc.);US;5120.0;5880.0;398.0;Other Specialty;70;0.025
189;Sundrug Co., Ltd.;Japan;5090.0;5090.0;224.0;Drug Store/Pharmacy;1;0.067
190;Shimamura Co., Ltd.;Japan;5071.0;5071.0;267.0;Apparel/Footwear Specialty;3;0.028
191;Zalando SE;Germany;5060.0;5060.0;115.0;Non-store;15;0.311
192;Cosmos Pharmaceutical Corp.;Japan;5054.0;5054.0;160.0;Drug Store/Pharmacy;1;0.111
193;Nitori Holdings Co., Ltd.;Japan;5015.0;5133.0;576.0;Other Specialty;4;0.102
194;MatsumotoKiyoshi Holdings Co., Ltd.;Japan;5014.0;5042.0;205.0;Drug Store/Pharmacy;2;0.041
195;Demoulas Super Markets, Inc.;US;5000.0;5000.0;;Supermarket;1;0.045
196;Office Depot, Inc.;US;4962.0;10240.0;181.0;Other Specialty;2;-0.038
197;Grupo Comercial Chedraui, S.A.B. de C.V.;Mexico;4954.0;4999.0;112.0;Hypermarket/Supercenter/Superstore;2;0.082
198;Academy Ltd. (dba Academy Sports +;US;4900.0;4900.0;;Other Specialty;1;0.07
199;Defense Commissary Agency (DeCA);US;4900.0;4900.0;;Supermarket;13;-0.043
200;E.Land World Co., Ltd.;S. Korea;4891.0;5780.0;580.0;Apparel/Footwear Specialty;3;0.022
201;OJSC Dixy Group;Russia;4803.0;4846.0;103.0;Supermarket;1;0.14
202;Müller Holding Ltd. & Co. KG;Germany;4786.0;4786.0;;Drug Store/Pharmacy;7;0.047
203;Foodstuffs North Island Ltd.;New Zealand;4741.0;4741.0;14.0;Supermarket;1;
204;XXXLutz Group;Austria;4729.0;4729.0;;Other Specialty;10;0.073
205;Wayfair, Inc.;US;4721.0;4721.0;245.0;Non-Store;4;0.51
206;Neiman Marcus Group LTD LLC;US;4706.0;4706.0;532.0;Department Store;2;0.016
207;PT Indomarco Prismatama (Indomaret);Indonesia;4703.0;4703.0;33.0;Convenience/Forecourt Store;1;0.169
208;Agrokor d.d.;Croatia;4702.0;5933.0;914.0;Supermarket;5;0.066
209;Valor Holdings Co., Ltd.;Japan;4668.0;4908.0;69.0;Supermarket;2;0.048
210;Sprouts Farmers Market, Inc.;US;4665.0;4665.0;158.0;Supermarket;1;0.21
211;East Japan Railway Company (JR East);Japan;4646.0;26614.0;;Convenience/Forecourt Store;1;0.05
212;Arcs Co., Ltd.;Japan;4602.0;4612.0;92.0;Supermarket;1;0.035
213;Hobby Lobby Stores, Inc.;US;4600.0;4600.0;;Other Specialty;1;0.069
214;PT Sumber Alfaria Trijaya Tbk (Alfamart);Indonesia;4579.0;4579.0;19.0;Convenience/Forecourt Store;1;0.177
215;Smart & Final Stores, Inc.;US;4571.0;4571.0;139.0;Cash & Carry/Warehouse Club;2;0.085
216;McKesson Europe AG (formerly Celesio;Germany;4561.0;24625.0;;Drug Store/Pharmacy;9;0.024
217;PETCO Animal Supplies, Inc.;US;4550.0;4550.0;;Other Specialty;3;0.052
218;The Save Mart Companies;US;4500.0;4500.0;;Supermarket;1;0.0
219;HORNBACH Baumarkt AG Group;Germany;4488.0;4488.0;68.0;Home Improvement;9;0.052
220;Save-A-Lot Food Stores Ltd.;US;4470.0;4470.0;;Discount Store;2;
221;Reinalt-Thomas Corporation;US;4400.0;4400.0;;Other Specialty;1;0.035
222;Stater Bros. Holdings Inc.;US;4340.0;4340.0;;Supermarket;1;0.023
223;RaiaDrogasil S.A.;Brazil;4337.0;4337.0;160.0;Drug Store/Pharmacy;1;0.199
224;Sports Direct International plc;UK;4240.0;4730.0;37.0;Other Specialty;24;0.109
225;Migros Ticaret A.Ş.;Turkey;4206.0;4206.0;140.0;Supermarket;3;0.188
226;Belk, Inc.;US;4200.0;4200.0;;Department Store;1;0.012
227;Sugi Holdings Co., Ltd.;Japan;4079.0;4101.0;147.0;Drug Store/Pharmacy;1;0.059
228;Tiffany & Co.;US;4045.0;4170.0;370.0;Other Specialty;27;0.023
229;B&M European Value Retail S.A.;UK;4012.0;4012.0;246.0;Discount Store;2;0.265
230;Nojima Corporation;Japan;4006.0;4528.0;123.0;Electronics Specialty;1;0.173
231;Save On Foods;Canada;4005.0;4005.0;;Supermarket;1;0.082
232;Iceland Topco Limited;UK;3995.0;3995.0;59.0;Supermarket;6;0.027
233;SHV Holdings N.V. / Makro;Netherlands;3979.0;22397.0;;Cash & Carry/Warehouse Club;5;-0.141
234;JD Sports Fashion Plc;UK;3943.0;4107.0;307.0;Other Specialty;14;0.217
235;Chongqing Department Store Co., Ltd.;China;3941.0;4869.0;96.0;Department Store;1;-0.005
236;Tokyu Corporation;Japan;3903.0;10272.0;;Department Store;2;-0.009
237;A101 Yeni Mağazacılık A.S;Turkey;3892.0;3892.0;;Discount Store;1;0.464
238;Grandvision N.V.;Netherlands;3888.0;3888.0;281.0;Other Specialty;44;0.065
239;NORMA Unternehmens Stiftung;Germany;3877.0;3877.0;;Discount Store;4;0.027
240;Ingles Markets, Inc.;US;3861.0;4003.0;54.0;Supermarket;1;0.015
241;Wangfujing Group Co., Ltd.;China;3859.0;3859.0;138.0;Department Store;1;0.074
242;Action Nederland BV;Netherlands;3853.0;3853.0;;Discount department store;7;0.314
243;Lagardère Travel Retail SAS;France;3834.0;3846.0;;Other Specialty;34;0.037
244;Intersport Deutschland eG;Germany;3821.0;4103.0;;Other Specialty;6;0.057
245;Daiso Industries Co., Ltd.;Japan;3816.0;4103.0;;Discount Department Store;27;0.053
246;American Eagle Outfitters, Inc.;US;3796.0;3796.0;204.0;Apparel/Footwear Specialty;31;0.018
247;Coop Sverige AB;Sweden;3764.0;3764.0;2.0;Supermarket;1;
248;Heiwado Co., Ltd.;Japan;3743.0;3931.0;86.0;Hypermarket/Supercenter/Superstore;2;0.023
249;Magazine Luiza S.A.;Brazil;3735.0;3752.0;122.0;Other Specialty;1;0.111
250;The Golub Corporation;US;3700.0;3700.0;;Supermarket;1;0.012
