rank;name;country_of_origin;retail_revenue;parent_company_revenue;parent_company_net_income;dominant_operational_format;countries_of_operation;retail_revenue_cagr
38;Inditex, S.A.;Spain;25734.0;25734.0;3490.0;Apparel/Footwear Specialty;93;0.111
39;Migros-Genossenschafts Bund;Switzerland;24152.0;28151.0;673.0;Hypermarket/Supercenter/Superstore;3;0.023
40;Lotte Shopping Co., Ltd.;S. Korea;23991.0;25355.0;212.0;Hypermarket/Supercenter/Superstore;6;0.059
41;H.E. Butt Grocery Company;US;23000.0;23000.0;;Supermarket;2;0.055
42;H & M Hennes & Mauritz AB;Sweden;22602.0;22602.0;2191.0;Apparel/Footwear Specialty;64;0.118
43;Coop Group;Switzerland;22401.0;28744.0;609.0;Supermarket;7;-0.005
44;Suning Commerce Group Co., Ltd.;China;22364.0;22364.0;74.0;Electronics Specialty;2;0.096
45;Sears Holdings Corporation;US;22138.0;22138.0;2221.0;Department Store;2;-0.118
46;Dollar General Corporation;US;21987.0;21987.0;1251.0;Discount Store;1;0.082
47;Mercadona, S.A.;Spain;21905.0;21905.0;704.0;Supermarket;2;0.038
48;Wm Morrison Supermarkets PLC;UK;21744.0;21744.0;406.0;Supermarket;1;-0.016
49;Dollar Tree, Inc.;US;20719.0;20719.0;896.0;Discount Store;2;0.256
50;Système U, Centrale Nationale;France;20675.0;26239.0;;Supermarket;4;0.022
51;A.S. Watson Group;Hong Kong;19517.0;19517.0;;Drug Store/Pharmacy;25;0.011
52;Kohl's Corporation;US;18686.0;18686.0;556.0;Department Store;1;-0.001
53;Empire Company Limited;Canada;18065.0;18065.0;131.0;Supermarket;1;0.082
54;Groupe Adeo SA;France;17959.0;21072.0;;Home Improvement;12;0.07
55;Meijer, Inc.;US;17900.0;17900.0;;Hypermarket/Supercenter/Superstore;1;0.044
56;Jerónimo Martins, SGPS, S.A.;Portugal;16174.0;16174.0;679.0;Discount Store;3;0.087
57;"PJSC ""Magnit""";Russia;15957.0;16041.0;812.0;Convenience/Forecourt Store;1;0.261
58;Fast Retailing Co., Ltd.;Japan;15739.0;15763.0;477.0;Apparel/Footwear Specialty;25;0.169
59;Whole Foods Market, Inc.;US;15724.0;15724.0;507.0;Supermarket;3;0.092
60;China Resources Vanguard Co., Ltd.;China;15577.0;15577.0;;Hypermarket/Supercenter/Superstore;1;0.046
61;The Gap, Inc.;US;15516.0;15516.0;676.0;Apparel/Footwear Specialty;53;0.013
62;X5 Retail Group N.V.;Russia;15427.0;15427.0;333.0;Discount Store;1;0.179
63;Kingfisher plc;UK;14958.0;14958.0;813.0;Home improvement;10;0.007
