Country,ISO Code,Region,Position 2022,Position 2021,Global Score,Politic Score,Economic Score,Legislative Score,Social Score,Security Score,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
Sri Lanka,LKA,Asia Pacific,146,127,42.13,40.91,27.04,53.07,48.25,41.37,0,0,0,0,Difficult
Sudan,SDN,Arab States,151,159,40.96,47.05,29.97,41.45,51.0,35.35,0,0,0,0,Difficult
Suriname,SUR,South America,52,19,68.95,67.88,55.1,62.28,84.0,75.51,0,0,0,0,Problematic
Sweden,SWE,Europe,3,3,88.84,91.96,87.66,90.27,90.18,84.14,0,0,0,0,Good
Switzerland,CHE,Europe,14,10,82.72,90.0,68.37,80.99,88.33,85.92,0,0,0,0,Satisfactory
Syria,SYR,Middle  East,171,173,28.94,33.51,27.62,33.58,36.57,13.39,1,0,3,0,Very Serious
Taiwan,TWN,Asia Pacific,38,43,74.08,74.78,51.88,79.01,77.69,87.02,0,0,0,0,Satisfactory
Tajikistan,TJK,Asia Pacific,152,162,40.26,33.79,29.85,48.68,46.0,42.96,0,0,5,0,Difficult
Tanzania,TZA,Africa,123,124,48.28,43.88,32.65,45.09,59.2,60.56,0,0,5,0,Difficult
Thailand,THA,Asia Pacific,115,137,50.15,58.99,45.24,47.37,53.67,45.5,0,0,5,0,Difficult
Timor-Leste,TLS,Asia Pacific,17,71,81.89,85.45,68.71,85.96,75.67,93.65,0,0,5,0,Satisfactory
Togo,TGO,Africa,100,74,57.17,57.52,41.73,61.93,69.5,55.15,0,0,5,0,Problematic
Tonga,TON,Asia Pacific,49,46,69.74,69.7,53.06,66.67,69.5,89.8,0,0,5,0,Problematic
Trinidad and Tobago,TTO,South America,25,31,78.68,73.94,67.86,74.56,84.5,92.52,0,0,5,0,Satisfactory
Tunisia,TUN,Arab States,94,73,58.49,61.82,41.84,67.19,70.2,51.42,0,0,5,0,Problematic
Turkey,TUR,Europe,149,153,41.25,38.38,27.55,52.92,55.0,32.37,0,0,1,0,Difficult
Turkmenistan,TKM,Asia Pacific,177,178,25.01,25.0,11.73,29.61,23.0,35.69,0,0,5,0,Very Serious
Uganda,UGA,Africa,132,125,46.35,44.7,36.99,60.96,56.0,33.09,0,0,2,0,Difficult
Ukraine,UKR,Europe,106,97,55.76,61.21,42.86,79.45,76.43,18.84,7,1,0,0,Problematic
United Arab Emirates,ARE,Middle  East,138,131,44.46,45.45,36.73,32.02,50.5,57.59,0,0,1,0,Difficult
United Kingdom,GBR,Europe,24,33,78.71,80.57,72.75,76.63,84.29,79.33,0,0,0,0,Satisfactory
United States,USA,North America,42,44,72.74,72.99,59.33,77.32,81.43,72.63,0,0,0,0,Satisfactory
Uruguay,URY,South America,44,18,72.03,70.3,49.32,83.63,72.33,84.58,0,0,0,0,Satisfactory
Uzbekistan,UZB,Asia Pacific,133,157,45.74,44.75,35.71,50.88,53.33,44.03,0,0,0,0,Difficult
Venezuela,VEN,South America,159,148,37.78,33.7,31.73,44.74,47.5,31.22,0,0,0,0,Very Serious
Vietnam,VNM,Asia Pacific,174,175,26.11,32.32,18.71,27.49,34.67,17.37,0,0,1,0,Very Serious
Yemen,YEM,Middle  East,169,169,29.14,33.03,27.55,38.6,35.0,11.54,3,0,4,0,Very Serious
Zambia,ZMB,Africa,109,115,55.4,52.35,37.76,58.33,64.0,64.55,0,0,0,0,Problematic
Zimbabwe,ZWE,Africa,137,130,44.94,40.3,32.4,54.17,54.5,43.34,0,0,0,0,Difficult
