Country,ISO Code,Region,Position 2020,Position 2019,Global Score,With Abuses,Without Abuses,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
Japan,JPN,Asia Pacific,66,67,71.14,100.0,71.14,0,0,0,0,Problematic
Jordan,JOR,Middle  East,128,130,57.92,80.54,57.92,0,0,7,1,Difficult
Kazakhstan,KAZ,Asia Pacific,157,158,45.89,58.26,45.89,0,0,0,0,Difficult
Kenya,KEN,Africa,103,100,66.28,79.21,66.28,0,0,0,0,Problematic
Kosovo,XKX,Europe,70,75,70.67,100.0,70.67,0,0,0,0,Problematic
Kuwait,KWT,Middle  East,109,108,65.7,100.0,65.7,0,0,0,0,Problematic
Kyrgyzstan,KGZ,Asia Pacific,82,83,69.81,100.0,69.81,0,0,0,0,Problematic
Laos,LAO,Asia Pacific,172,171,35.72,43.27,35.72,0,0,0,0,Very Serious
Latvia,LVA,Europe,22,24,81.44,100.0,81.44,0,0,0,0,Satisfactory
Lebanon,LBN,Middle  East,102,101,66.81,76.97,66.82,1,0,0,0,Problematic
Lesotho,LSO,Africa,86,78,69.55,100.0,69.55,0,0,0,0,Problematic
Liberia,LBR,Africa,95,93,67.75,93.07,67.75,1,0,0,0,Problematic
Libya,LBY,Middle  East,164,162,44.23,48.07,44.23,0,0,0,0,Very Serious
Liechtenstein,LIE,Europe,24,26,80.48,100.0,80.48,0,0,0,0,Satisfactory
Lithuania,LTU,Europe,28,30,78.81,100.0,78.81,0,0,0,0,Satisfactory
Luxembourg,LUX,Europe,17,17,84.54,100.0,84.54,0,0,0,0,Satisfactory
Madagascar,MDG,Africa,54,54,72.32,100.0,72.32,0,0,0,0,Problematic
Malawi,MWI,Africa,69,68,70.68,93.07,70.68,0,0,0,0,Problematic
Malaysia,MYS,Asia Pacific,101,123,66.88,100.0,66.88,0,0,0,0,Problematic
Maldives,MDV,Asia Pacific,79,98,70.07,100.0,70.07,0,0,0,0,Problematic
Mali,MLI,Africa,108,112,65.88,100.0,65.88,0,0,0,0,Problematic
Malta,MLT,Europe,81,77,69.84,100.0,69.84,0,0,0,0,Problematic
Mauritania,MRT,Arab States,97,94,67.46,55.34,70.49,0,0,0,0,Problematic
Mauritius,MUS,Africa,56,58,72.0,100.0,72.0,0,0,0,0,Problematic
Mexico,MEX,South America,143,144,54.55,38.18,58.64,8,0,0,0,Difficult
Moldova,MDA,Europe,91,91,68.84,76.97,68.84,0,0,0,0,Problematic
Mongolia,MNG,Asia Pacific,73,70,70.39,100.0,70.39,0,0,0,0,Problematic
Montenegro,MNE,Europe,105,104,66.17,100.0,66.17,0,0,0,0,Problematic
Morocco,MAR,Arab States,133,135,57.12,49.25,59.25,0,0,4,0,Difficult
Mozambique,MOZ,Africa,104,103,66.21,93.07,66.21,0,0,0,0,Problematic
Myanmar,MMR,Asia Pacific,139,138,55.23,65.66,55.23,0,0,5,0,Difficult
Namibia,NAM,Africa,23,23,80.75,100.0,80.75,0,0,0,0,Satisfactory
Nepal,NPL,Asia Pacific,112,106,64.9,89.01,64.9,0,0,0,0,Difficult
Netherlands,NLD,Europe,5,4,90.04,100.0,90.04,0,0,0,0,Good
New Zealand,NZL,Asia Pacific,9,7,89.31,100.0,89.31,0,0,0,0,Good
Nicaragua,NIC,South al America,117,114,64.19,68.22,64.27,0,0,0,0,Difficult
Niger,NER,Africa,57,66,71.75,100.0,71.75,0,0,0,0,Problematic
Nigeria,NGA,Africa,115,120,64.37,52.29,67.39,2,0,1,0,Difficult
North Korea,PRK,Asia Pacific,180,179,14.18,48.07,14.18,0,0,0,0,Very Serious
North Macedonia,MKD,Europe,92,95,68.72,100.0,68.72,0,0,0,0,Problematic
Northern Cyprus,CYP,Europe,77,74,70.21,100.0,70.21,0,0,0,0,Problematic
Norway,NOR,Europe,1,1,92.16,100.0,92.16,0,0,0,0,Good
OECS,,,44,50,76.22,100.0,76.22,0,0,0,0,Satisfactory
Oman,OMN,Middle  East,135,132,56.58,100.0,56.58,0,0,0,0,Difficult
Pakistan,PAK,Asia Pacific,145,142,54.48,37.58,58.72,4,0,2,0,Difficult
Palestine,PSE,Middle  East,137,137,55.91,55.34,57.25,0,0,4,0,Difficult
Panama,PAN,South America,76,79,70.22,100.0,70.22,0,0,0,0,Problematic
Papua New Guinea,PNG,Asia Pacific,46,38,76.07,100.0,76.07,0,0,0,0,Satisfactory
Paraguay,PRY,South America,100,99,67.03,83.91,67.03,1,0,0,0,Problematic
Peru,PER,South America,90,85,69.06,76.02,69.06,0,0,0,0,Problematic
Philippines,PHL,Asia Pacific,136,134,56.46,43.94,59.59,4,0,2,0,Difficult
Poland,POL,Europe,62,59,71.35,100.0,71.35,0,0,0,0,Problematic
Portugal,PRT,Europe,10,12,88.17,100.0,88.17,0,0,0,0,Good
Qatar,QAT,Middle  East,129,128,57.49,100.0,57.49,0,0,0,0,Difficult
Romania,ROU,Europe,48,47,74.09,100.0,74.09,0,0,0,0,Problematic
Russia,RUS,Europe,149,149,51.08,46.92,52.8,1,0,20,0,Difficult
Rwanda,RWA,Africa,155,155,49.66,100.0,49.66,0,0,2,0,Difficult
Samoa,WSM,Asia Pacific,21,22,81.75,100.0,81.75,0,0,0,0,Satisfactory
Saudi Arabia,SAU,Middle  East,170,172,37.86,33.71,38.92,0,0,0,0,Very Serious
Senegal,SEN,Africa,47,49,76.01,89.01,76.01,0,0,0,0,Satisfactory
Serbia,SRB,Europe,93,90,68.38,100.0,68.38,0,0,0,0,Problematic
Seychelles,SYC,Africa,63,69,71.34,100.0,71.34,0,0,0,0,Problematic
Sierra Leone,SLE,Africa,85,86,69.72,100.0,69.72,0,0,0,0,Problematic
Singapore,SGP,Asia Pacific,158,151,44.77,100.0,44.77,0,0,0,0,Very Serious
Slovakia,SVK,Europe,33,35,77.33,100.0,77.33,0,0,0,0,Satisfactory
Slovenia,SVN,Europe,32,34,77.36,100.0,77.36,0,0,0,0,Satisfactory
Somalia,SOM,Arab States,163,164,44.55,43.1,45.07,2,0,2,0,Very Serious
South Africa,ZAF,Africa,31,31,77.59,83.91,77.59,0,0,0,0,Satisfactory
South Korea,KOR,Asia Pacific,42,41,76.3,100.0,76.3,0,0,0,0,Satisfactory
South Sudan,SSD,Africa,138,139,55.51,83.91,55.51,0,0,0,0,Difficult
Spain,ESP,Europe,29,29,77.84,100.0,81.52,0,0,0,0,Satisfactory
Sri Lanka,LKA,Asia Pacific,127,126,58.06,93.07,58.06,0,0,2,0,Difficult
Sudan,SDN,Arab States,159,175,44.67,57.37,44.76,0,0,0,0,Very Serious
Suriname,SUR,South America,20,20,82.5,100.0,82.5,0,0,0,0,Satisfactory
Sweden,SWE,Europe,4,3,90.75,100.0,90.75,0,0,0,0,Good
Switzerland,CHE,Europe,8,6,89.38,100.0,89.38,0,0,0,0,Good
Syria,SYR,Middle  East,174,174,27.43,19.08,29.81,4,0,3,0,Very Serious
Taiwan,TWN,Asia Pacific,43,42,76.24,100.0,76.24,0,0,0,0,Satisfactory
Tajikistan,TJK,Asia Pacific,161,161,44.66,59.06,44.7,0,0,1,0,Very Serious
Tanzania,TZA,Africa,124,118,59.75,86.14,59.75,0,0,0,0,Difficult
Thailand,THA,Asia Pacific,140,136,55.06,49.25,56.51,0,0,0,0,Difficult
Timor-Leste,TLS,Asia Pacific,78,84,70.1,100.0,70.1,0,0,0,0,Problematic
Togo,TGO,Africa,71,76,70.67,100.0,70.67,0,0,0,0,Problematic
Tonga,TON,Asia Pacific,50,45,72.73,100.0,72.73,0,0,0,0,Problematic
Trinidad and Tobago,TTO,South America,36,39,76.78,100.0,76.78,0,0,0,0,Satisfactory
Tunisia,TUN,Arab States,72,72,70.55,100.0,70.55,0,0,0,0,Problematic
Turkey,TUR,Europe,154,157,49.98,31.8,54.54,0,0,0,0,Difficult
Turkmenistan,TKM,Asia Pacific,179,180,14.56,100.0,14.56,0,0,1,0,Very Serious
Uganda,UGA,Africa,125,125,59.05,82.08,59.05,0,0,1,0,Difficult
Ukraine,UKR,Europe,96,102,67.48,53.95,70.87,0,0,0,0,Problematic
United Arab Emirates,ARE,Middle  East,131,133,57.31,50.95,58.9,0,0,0,0,Difficult
United Kingdom,GBR,Europe,35,33,77.07,55.0,82.59,0,0,0,0,Satisfactory
United States,USA,North America,45,48,76.15,80.54,76.15,0,0,0,0,Satisfactory
Uruguay,URY,South America,19,19,84.21,100.0,84.21,0,0,0,0,Satisfactory
Uzbekistan,UZB,Asia Pacific,156,160,46.93,100.0,46.93,0,0,1,0,Difficult
Venezuela,VEN,South America,147,148,54.34,58.41,54.56,1,0,2,0,Difficult
Vietnam,VNM,Asia Pacific,175,176,25.29,35.21,25.29,0,0,8,0,Very Serious
Yemen,YEM,Middle  East,167,168,41.75,45.19,42.27,2,0,1,0,Very Serious
Zambia,ZMB,Africa,120,119,63.0,86.14,63.0,0,0,0,0,Difficult
Zimbabwe,ZWE,Africa,126,127,59.05,73.61,59.05,0,0,2,0,Difficult
