Country,ISO Code,Region,Position 2021,Position 2020,Global Score,With Abuses,Without Abuses,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
North Korea,PRK,Asia Pacific,179,180,18.72,48.07,18.72,0,0,0,0,Very Serious
North Macedonia,MKD,Europe,90,92,68.33,100.0,68.33,0,0,0,0,Problematic
Northern Cyprus,CYP,Europe,76,77,70.18,100.0,70.18,0,0,0,0,Problematic
Norway,NOR,Europe,1,1,93.28,100.0,93.28,0,0,0,0,Good
OECS,,,45,44,76.02,100.0,76.03,0,0,0,0,Satisfactory
Oman,OMN,Middle  East,133,135,56.63,100.0,56.63,0,0,0,0,Difficult
Pakistan,PAK,Asia Pacific,145,145,53.14,40.36,55.84,3,0,0,0,Difficult
Palestine,PSE,Middle  East,132,137,56.82,70.56,56.82,2,0,1,0,Difficult
Panama,PAN,South America,77,76,70.06,100.0,70.06,0,0,0,0,Problematic
Papua New Guinea,PNG,Asia Pacific,47,46,75.12,100.0,75.12,0,0,0,0,Satisfactory
Paraguay,PRY,South America,100,100,66.48,55.0,69.01,0,0,0,0,Problematic
Peru,PER,South America,91,90,68.29,86.14,68.29,0,0,0,0,Problematic
Philippines,PHL,Asia Pacific,138,136,54.36,41.03,57.11,2,0,0,0,Difficult
Poland,POL,Europe,64,62,71.16,66.68,71.98,0,0,0,0,Problematic
Portugal,PRT,Europe,9,10,89.89,100.0,89.89,0,0,0,0,Good
Qatar,QAT,Middle  East,128,129,57.4,100.0,57.4,0,0,1,0,Difficult
Romania,ROU,Europe,48,48,75.09,100.0,75.09,0,0,0,0,Satisfactory
Russia,RUS,Europe,150,149,51.29,47.02,52.0,0,0,7,1,Difficult
Rwanda,RWA,Africa,156,155,49.34,69.55,49.34,0,0,2,0,Difficult
Samoa,WSM,Asia Pacific,21,21,80.76,100.0,80.76,0,0,0,0,Satisfactory
Saudi Arabia,SAU,Middle  East,170,170,37.27,28.93,38.85,0,0,2,0,Very Serious
Senegal,SEN,Africa,49,47,74.78,71.67,75.38,0,0,0,0,Problematic
Serbia,SRB,Europe,93,93,67.97,68.22,67.97,0,0,0,0,Problematic
Seychelles,SYC,Africa,52,63,74.34,100.0,74.34,0,0,0,0,Problematic
Sierra Leone,SLE,Africa,75,85,70.39,82.08,70.39,0,0,0,0,Problematic
Singapore,SGP,Asia Pacific,160,158,44.8,100.0,44.8,0,0,0,0,Very Serious
Slovakia,SVK,Europe,35,33,76.98,100.0,76.98,0,0,0,0,Satisfactory
Slovenia,SVN,Europe,36,32,76.9,93.07,76.9,0,0,0,0,Satisfactory
Somalia,SOM,Arab States,161,163,44.53,54.57,44.53,2,0,3,0,Very Serious
South Africa,ZAF,Africa,32,31,78.41,54.36,84.39,0,0,0,0,Satisfactory
South Korea,KOR,Asia Pacific,42,42,76.57,100.0,76.57,0,0,0,0,Satisfactory
South Sudan,SSD,Africa,139,138,54.22,69.55,54.22,0,0,0,0,Difficult
Spain,ESP,Europe,29,29,79.56,76.02,80.3,0,0,0,0,Satisfactory
Sri Lanka,LKA,Asia Pacific,127,127,57.8,70.56,54.36,0,0,0,0,Difficult
Sudan,SDN,Arab States,159,159,47.07,69.55,47.07,0,0,3,0,Difficult
Suriname,SUR,South America,19,20,83.05,100.0,83.05,0,0,0,0,Satisfactory
Sweden,SWE,Europe,3,4,92.76,100.0,92.76,0,0,0,0,Good
Switzerland,CHE,Europe,10,8,89.45,93.07,89.45,0,0,0,0,Good
Syria,SYR,Middle  East,173,174,29.37,17.41,31.89,1,0,10,0,Very Serious
Taiwan,TWN,Asia Pacific,43,43,76.14,100.0,76.14,0,0,0,0,Satisfactory
Tajikistan,TJK,Asia Pacific,162,161,44.48,52.64,44.48,0,0,0,0,Very Serious
Tanzania,TZA,Africa,124,124,59.31,100.0,59.31,0,0,1,0,Difficult
Thailand,THA,Asia Pacific,137,140,54.78,47.02,55.85,0,0,0,0,Difficult
Timor-Leste,TLS,Asia Pacific,71,78,70.89,100.0,70.89,0,0,0,0,Problematic
Togo,TGO,Africa,74,71,70.41,100.0,70.41,0,0,2,0,Problematic
Tonga,TON,Asia Pacific,46,50,75.41,100.0,75.41,0,0,0,0,Satisfactory
Trinidad and Tobago,TTO,South America,31,36,78.45,100.0,78.45,0,0,0,0,Satisfactory
Tunisia,TUN,Arab States,73,72,70.47,100.0,70.47,0,0,0,0,Problematic
Turkey,TUR,Europe,153,154,50.21,33.88,53.86,1,0,2,0,Difficult
Turkmenistan,TKM,Asia Pacific,178,179,19.97,100.0,19.97,0,0,0,0,Very Serious
Uganda,UGA,Africa,125,125,58.81,60.68,58.81,0,0,0,0,Difficult
Ukraine,UKR,Europe,97,96,67.04,48.07,71.63,0,0,0,0,Problematic
United Arab Emirates,ARE,Middle  East,131,131,56.87,64.45,56.87,0,0,0,0,Difficult
United Kingdom,GBR,Europe,33,35,78.41,86.14,78.35,0,0,0,0,Satisfactory
United States,USA,North America,44,45,76.07,60.3,79.97,0,0,0,0,Satisfactory
Uruguay,URY,South America,18,19,83.62,100.0,83.62,0,0,0,0,Satisfactory
Uzbekistan,UZB,Asia Pacific,157,156,49.26,86.14,49.26,0,0,4,0,Difficult
Venezuela,VEN,South America,148,147,52.4,45.71,53.84,0,0,0,0,Difficult
Vietnam,VNM,Asia Pacific,175,175,21.54,31.96,24.82,0,0,24,0,Very Serious
Yemen,YEM,Middle  East,169,167,37.65,46.67,37.65,4,0,5,0,Very Serious
Zambia,ZMB,Africa,115,120,61.79,100.0,61.79,0,0,0,0,Difficult
Zimbabwe,ZWE,Africa,130,126,56.88,65.34,56.88,0,0,1,0,Difficult
